stagenm	birthnm	firstnm	dob	origin	gender
William Challee	#	#	#	\Un	M
Wilt Chamberlain	#	#	#	\Un	M
Marilyn Chambers	#	#	#	\Un	F
Chick Chandler	Chandler	Chick	1905	\Am	M
George Chandler	Chandler	George	1902	\Am	M
John Davis Chandler	Chandler	John Davis	1937	\Am	M
Simon Chandler	#	#	#	\Un	M
Carol Channing	Channing	Carol	1921	\Am	F
Margo Channing	#	#	#	\Un	F
Stockard Channing	Channing	Susan	1944	\Am	F
Charlie Chaplin	Chaplin	Sir Charlie	1889	\Br	M
Esme Chaplin	#	#	#	\Un	F
Geraldine Chaplin	Chaplin	Geraldine	1944	\Am	F
Josephine Chaplin	#	#	#	\Un	F
Oona Chaplin	#	#	#	\Un	F
Sydney Chaplin	Chaplin	Sydney	1926	\Un	M
Geraldine Chapman	#	#	#	\Un	F
Bobby H. Charles	#	#	#	\Un	M
Henri Charrieri	#	#	#	\Un	M
Spencer Charters	Charters	Spencer	1878	\Am	M
Charlie Chase	Parrott	Charles	1893	\Am	M
Stephen Chase	#	#	#	\Un	M
Martine Chassaing	#	#	#	\Un	F
Marvin Chatinover	#	#	#	\Un	M
Soumitra Chatterjee	Chatterjee	Soumitra	#	\In dia (Bengali)	M
Chubby Checker	Evans	Ernest	1941	#	M
Joan Chen	#	#	#	\Un	F
Cher	Sarkisian	Cherilyn	1946	\Am	F
Patrice Chereau	#	#	#	\Un	F
Arthur Chesney	#	#	#	\Un	M
Helen Chester	#	#	#	\Un	F
Sonny Chiba	#	#	#	\Un	M
Rae Dawn Chong	#	#	1961	\Un	F
Shelby Chong	#	#	#	\Un	#
Thomas Chong	#	#	#	\Un	M
Navin Chowdhury	#	#	#	\Un	M
Linda Cristian	#	#	#	\Un	F
Suzanne Christian	#	#	#	\Un	F
Audrey Christie	Christie	Audrey	1912	\Am	F
Julie Christie	Christie	Julie	1940	\Br	F
Kay Christopher	#	#	#	\Un	M
William Christopher	#	#	#	\Un	M
Sarah Churchill	Churchill	Sarah, Lady Audley	#	\Br	F
Diane Cilento	Cilento	Diane	1933	\Au	F
Michael Cimino	Cimino	Michael	1940	\Un	M
Augusta Ciolli	#	#	#	\Un	F
Audrey Claire	#	#	#	\Un	F
Ina Claire	Fagan	Ina	1892	\Am	F
Jimmy Clanton	#	#	#	\Un	M
Gordon Clapp	#	#	#	\Un	M
Eric Clapton	#	#	#	\Un	M
D. Greydon Clark	#	#	#	\Un	M
Cliff Clark	Clark	Cliff	1893	\Am	M
Dane Clark	Zanville	Bernard	1913	\Am	M
Ernest Clark	Clark	Ernest	1912	\Br	M
Ken Clark	Clark	Ken	#	\Am	M
Marguerite Clark	Clark	Marguerite	1883	\Am	F
Petula Clark	Clark	Petula	1932	\Am	F
Caitlin Clarke	#	#	#	\Un	M
Sharon D. Clarke	#	#	#	\Un	F
Warren Clarke	#	#	#	\Un	M
Ethel Clayton	Clayton	Ethel	1884	\Am	F
John Cleese	Cleese	John	1939	\Br	M
David Clendinning	#	#	#	\Un	M
David Clennon	#	#	#	\Un	M
Corinne Clery	#	#	#	\Un	F
Jimmy Cliff	#	#	#	\Un	M
E.E. Clive	Clive	E.E.	1879	\Br	M
Al Cliver	#	#	#	\Un	M
George Clooney	Clooney	George	#	\Un	G
Glenn Close	Close	Glenn	1947	\Am	F
Raymond Cloutier	#	#	#	\Un	M
Vera Clouzot	Clouzot	Vera	1921	Portugese	F
Jennifer Cluff	#	#	#	\Un	F
Alec Clunes	Clunes	Alec	1912	\Br	M
Andy Clyde	Clyde	Andy	1892	\Br; Scots	M
June Clyde	#	#	#	\Un	F
Lee J. Cobb	Jacoby	Leo	1911	\Am	M
Lew Cody	Louis	Cote	1884	\Am	#
George Coe	#	#	#	\Un	M
Peter Coe	Coe	Peter	1929	\Br	M
Tristam Coffin	Coffin	Tristam	#	\Am	M
Mindy Cohen	#	#	#	\Un	F
Nicholas Colasanto	#	#	#	\Un	M
Claudette Colbert	Chauchoin	Lily Claudette	1905	\Fr	F
Mabel Colcord	#	#	#	\Un	F
Nat King Cole	Coles	Nathaniel	1919	\Am	M
Rosalie Cole	#	#	#	\Un	F
Robert Coleby	#	#	#	\Un	M
Charles Coleman	Coleman	Charles	1885	\Au	M
Dabney Coleman	Coleman	Dabney	#	\Am	M
Gary Coleman	Coleman	Gary	1968	\Am	M
Nancy Coleman	Coleman	Nancy	1917	\Un	F
David Colin~jr.	#	#	#	\Un	M
Bonar Colleano	Sullivan	Bonar	1924	\Am	M
Kenneth Colley	#	#	#	\Un	M
Dan Collier	#	#	#	\Un	M
Lois Collier	Jones	Madelyn	1919	\Am	F
Patience Collier	Collier	Patience	#	\Un	F
Patricia Collinge	Collinge	Patricia	1892	\Ir	F
Joan Collins	Collins	Joan	1933	\Br	F
Phil Collins	#	#	#	\Un	M
Ray Collins	Collins	Ray	1890	\Am	M
Roberta Collins	#	#	#	\Un	F
Richard Colman	Colman	Richard	1891	\Br	M
Scott Colomby	#	#	#	\Un	M
Miriam Colon	#	#	#	\Un	F
Willie Colon	#	#	#	\Un	M
Tita Colorado	#	#	#	\Un	F
Norman Combes	#	#	#	\Un	M
Frederick Combs	#	#	#	\Un	M
Dorothy Comingore	Winters	Kay or Linda	1913	\Am	F
The Commodores	#	#	#	\Un	G
Fay Compton	Compton	Fay	#	\Br	F
Oliver Conant	#	#	#	\Un	M
Chester Conklin	Cowles	Jules	1888	\Am	M
Didi Conn	#	#	#	\Un	F
Betty Connell	#	#	#	\Un	F
Jenifer Connelly	#	#	#	\Un	F
Sean Connery	Connery	Thomas	1929	\Br; Scots	M
Walter Connolly	Connolly	Walter	1887	\Am	M
Kenneth Connor	Connolly	Kenneth	1918	\Br	M
Chuck Connors	Connors	Kevin	1937	\Am	M
Michael Connors	Ohanian	Krekor	1925	\Am	M
Mike Connors	Ohanian	Krekor	1925	\Am	M
Touch Connors	Ohanian	Krekor	1925	\Am	M
Robert Conrad	Falk	Conrad Robert	1935	\Am	M
William Conrad	Conrad	William	1920	\Am	M
Hans Conried	Conried	Hans	1917	\Am	M
John Considine	#	#	#	\Un	M
Tim Considine	#	#	#	\Un	M
Michel Constantin	#	#	#	\Un	M
Mario Conti	#	#	#	\Un	M
Tom Conti	Conti	Tom	1945	\Br	M
Morgan Conway	Conway	Morgan	1903	\Am	M
Carolyn Conwell	#	#	#	\Un	F
Elisha Cook~jr.	Cook	Elisha~Jr.	1902	\Am	M
Fielder Cook	Cook	Fielder	1923	\Am	M
Perry Cook	#	#	#	\Un	M
Ron Cook	Cook	Ron	#	\Un	M
Alice Cooper	#	#	#	\Un	F
Miriam Cooper	Cooper	Miriam	1900	\Am	F
Terrec Cooper	#	#	#	\Un	M
Francis Ford Coppola	Coppola	Francis	1939	\Am	M
Sofia Coppola	Coppola	Sofia	#	\Am	F
Harry H. Corbett	Corbett	Harry	1925	\Br	M
Barry Corbin	#	#	#	\Un	M
Ellen Corby	Hansen	Ellen	1913	\Am	F
Lola Cordova	Cordova	Lola	#	\Sp	F
Irwin Corey	#	#	#	\Un	M
Wendell Corey	Corey	Wendell	1914	\Am	M
Roger Corman	Corman	Roger	1926	\Un	M
Judy Cornwell	#	#	#	\Un	F
Adrienne Corri	Riccobonii	Adrienne	1930	\Br	F
Douglas `Wrong Way' Corrigan	Corrigan	Douglas	1907	\Am	M
Salvatore Corsitto	#	#	#	\Un	M
Joseph Cortese	#	#	#	\Un	M
Nicholas Cortland	#	#	#	\Un	M
Henry Cory	#	#	#	\Un	M
Wendell Cory	#	#	#	\Un	M
Cybil Cosack	#	#	#	\Un	F
Ernest Cosart	#	#	#	\Un	M
Rich Cosentino	#	#	#	\Un	M
Caroline `Tula' Cossey	Cossey	#	1955	\Am	M,F
Desiree Costeau	#	Desir\'ee	#	#	F
Dolores Costello	Costello	Dolores	1905	#	F
Helene Costello	Costello	Helene	1904	\Am	F
Lou Costello	Costello	Lou	1906	\Am	M
Kevin Costner	Costner	Kevin	1955	\Un	M
Joseph Cotten	Cotten	Joseph	1905	\Am	M
Carolyn Courage	#	#	#	\Un	F
Hazel Court	Court	Hazel	1926	\Br	F
Tom Courtenay	Courtenay	Tom	1937	\Br	M
Cicely Courtneige	Courtneige	Dame Cicely	#	\Ct	F
Maggie CousineauArndt	#	#	#	\Un	F
Herbert `Cowboy' Coward	#	#	#	\Un	M
Ruth Cox	#	#	#	\Un	F
Peter Coyote	#	#	#	\Un	M
Donald Crabtree	#	#	#	\Un	M
Jack Crain	#	#	#	\Un	M
Jeanne Crain	Crain	Jeanne	1925	\Am	F
Grant Cramer	#	#	#	\Un	M
Nick Cravat	Cravat	Nick	1911	\Am	M
Plett Creighton	#	#	#	\Un	M
Jack Creley	#	#	#	\Un	M
Robert Crenna	#	#	#	\Un	M
Michael Crichton	Crichton	Michael	#	\Br	#
Lou Crisoula	#	#	#	\Un	M
Donald Crisp	Crisp	Donald	1880	\Br	M
Dick Crockett	#	#	#	\Un	M
Cathy Lee Crosby	#	#	#	\Un	F
Harry Crosby	Crosby	Harry	#	\Un	M
Kim Crosby	#	#	#	\Un	F
Lindsay Crosby	#	#	#	\Un	M
Mary Crosby	#	#	#	\Un	F
Henrietta Crosman	Crosman	Henrietta	1861	\Am	F
Rupert Crosse	Crosse	Rupert	1927	\Am	M
James Cruze	Bosen	Jens Cruz	1884	\Da-\Am	M
John Cullum	#	#	#	\Un	M
Dorothy Cumming	Cors.	Ruth Cumming	#	\Am	F
Constance Cummings	Halverstadt	Constance	1910	\Am	M
Quinn Cummings	#	#	#	\Un	M
Susan Cummings	#	#	#	\Un	F
Peggy Cummins	#	#	#	\Un	F
John Cunningham	#	#	#	\Un	M
Alain Cuny	Cuny	Alain	1908	\Fr	M
Lee Curreri	#	#	#	\Un	#
Finlay Currie	Jefferson	Finlay	1878	\Br(Sc)	M
Michael Currie	#	#	#	\Un	M
Sondra Currie	#	#	#	\Un	F
Steve Curry	#	#	#	\Un	M
Tim Curry	Curry	Tim	1946	\Br	M
Jane Curtin	#	#	#	\Un	F
Valerie Curtin	#	#	#	\Un	F
Jamie Lee Curtis	Curtis	Jamie Lee	1958	\Am	F
Allan Cuthbertson	Cuthbertson	Allan	1920	\Au	M
Maryam DAbo	D'Abo	Maryam	#	\Un	F
Olivia DAbo	D'Abo	Olivia	1970	#	F
Willem Dafoe	Dafoe	Willem	#	\Un	M
Lil Dagover	Dagover	gn	#	\Ct	F
Eva Dahlbeck	Dahlbeck	Eva	1920	\Sw	F
Elizabeth Daily	#	#	#	\Un	F
Irene Daily	#	#	#	\Un	F
Charles Dale	Marks	Charles	1881	\Am	M
Jennifer Dale	#	#	#	\Un	F
Jim Dale	Smith	James	1935	\Br	M
Beatrice Dalle	Dalle	B\'eatrice	#	\Fr	#
Timothy Dalton	Dalton	Timothy	1944	\Br	M
James Daly	Daly	James	1918	\Am	M
Mark Damon	Doman	Mark	#	\Am	M
Leona Dana	#	#	#	\Un	F
Mara Danaud	#	#	#	\Un	F
Charles Dance	#	#	#	\Un	M
Mirella D'Angelo	#	#	#	\Un	F
Rodney Dangerfield	#	#	#	\Un	M
Suzanne Danielle	#	#	#	\Un	F
Anthony Daniels	#	#	#	\Un	M
Bebe Daniels	Daniels	Virginia	1901	\Am	F
Jeff Daniels	#	#	#	\Un	M
Blythe Danner	Danner	Blythe	1945	\Am	F
Sybil Danning	#	#	#	\Un	F
Ted Danson	Danson	Ted	1952	\Am	M
Michael Dante	Vitti	Ralph	1931	\Am	M
Tony Danza	#	#	#	\Un	#
Patti D'Arbanville	#	#	#	\Un	F
Ruth Dardick	#	#	#	\Un	F
Frank Darien	#	#	#	\Un	M
Bobby Darin	Cassotto	Walden Robert	1936	\Am	M
Danielle Darrieux	Darrieux	Danielle	1917	\Fr	F
Jane Darwell	Woodward	Patti	1880	\Am	F
Howard daSilva	Siverblatt	Harold	1909	\Am	M
Jules Dassin	Dassin	Jules	1911	\Am	M
Jean Daste	#	#	#	\Un	#
Elyssa Davalos	#	#	#	\Un	F
Doris Davenport	#	#	#	\Un	F
Eileen Davidson	#	#	#	\Un	F
John Davidson	Davidson	John	1886	#	M
Clifton Davis	#	#	#	\Un	M
Geena Davis	#	#	#	\Am	F
Gene Davis	#	#	#	\Un	M
Joan Davis	Davis	Joan	1907	\Am	F
Judy Davis	Davis	Judy	1956	\Au	F
Larry Davis	#	#	#	\Un	M
Lyndon Davis	#	#	#	\Un	M
Mac Davis	#	#	#	\Un	M
Miles Davis	#	#	#	\Un	M
Phyllis Davis	#	#	#	\Un	F
Roger Davis	#	#	#	\Un	M
Sonny Carl Davis	#	#	#	\Un	M
Bruce Davison	Davison	Bruce	1948	\Am	M
Marjorie Daw	#	#	#	\Un	M
Marpessa Dawn	#	#	#	\Un	F
Clayton Day	#	#	#	\Un	M
Dennis Day	Day	Dennis	#	\Ct	M
Doris Day	Kappelhoff	Doris	1924	\Am	F
Frances Day	Day	Frances	1908	\Ge(Ru)	F
Lawrence Day	#	#	#	\Un	M
Marceline Day	#	#	#	\Un	F
Brian Deacon	#	#	#	\Un	M
Isabel Dean	Hodgkinson	Isabel	1918	\Br	F
Laura Dean	#	#	#	\Un	F
Darcia Deane	#	#	#	\Un	F
Maria DeAragon	#	#	#	\Un	F
Kristine DeBell	#	#	#	\Un	F
John DeBello	#	#	#	\Un	M
Nigel deBrulier	deBrulier	Nigel	1878	\Br	M
Rosemary de Camp	Camp	Rosemary	1913	\Am	F
Yvonne deCarlo	Middleton	Peggy	1922	\Ca	F
Ted DeCorsia	DeCorsia	Ted	1904	\Am	M
Sandra Dee	Zuck	Alexandra	1942	\Am	F
Ermelinda deFelice	#	#	#	\Un	F
Eduardo DeFilippo	Passarelli	Eduardo	1900	\It	M
Luca DeFilippo	Passarelli	Luca	#	\It	M
Willem Defoe	#	#	#	\Un	M
Nicholas DeGunzberg	West	Julian	#	\Da nish	M
Olivia deHavilland	de Havilland	Olivia	1916	\Br	F
John Dehner	Forkum	John	1915	#	M
Albert Dekker	Dekker	Albert	1905	\Am-\Du	M
Frank deKova	#	#	#	\Un	M
Suzy Delair	Delair	Suzy	1916	\Fr	F
Cyril Delevanti	Delevanti	Cyril	1887	\Br	M
Alain Delon	Delon	Alain	1935	\Fr	M
Carla DelPoggio	DelPoggio	Carla	#	\It	F
Julie Delpy	Delpy	Julie	1969	\Fr	F
Dom DeLuise	De Luise	Dom	1933	\Am	M
Robert Deman	#	#	#	\Un	M
Terrence deMarney	de Marney	Terrence	1909	\Br	M
Cecil B. DeMille	De Mille	Cecil	1881	\Am	M
Mylene Demongeot	Demongeot	Mylene	1936	\Fr	F
Rebecca deMorney	#	#	#	\Un	F
Judi Dench	Dench	Judi	1934	\Br	F
Sandy Dennis	Dennis	Sandra Dale	1937	#	F
Raymond Denny	#	#	#	\Un	M
Reginald Denny	Daymore	Reginald Leigh	1891	\Br	M
Rossy dePalma	#	#	#	\Un	#
Elisabeth Depardieu	#	#	#	\Un	F
Frederic dePasquale	#	#	#	\Un	M
Emilie Dequenne	Dequenne	Emilie	1971	\Be lgium	F
Bo Derek	Collins	Mary Cathleen	1957	\Am	F
Bruce Dern	Dern	Bruce	1936	\Am	M
Laura Dern	Dern	Laura	1967	\Un	F
Cleavant Derricks	#	#	#	\Un	#
Anne DeSalvo	#	#	#	\Un	F
Joe DeSantis	#	#	#	\Un	M
Vittorio DeSica	DeSica	Vittorio	1901	\Am	M
Ed DeStefane	#	#	#	\Un	M
William Devane	#	#	#	\Un	M
Danny deVito	#	#	#	#	M
Joe Devlin	Devlin	J.G.	#	\Ct	M
William Devlin	Devlin	William	#	\Ct	M
Patrick Dewaere	Dewaere	Patrick	#	\Ct	M
William Dewhurst	#	#	#	\Un	M
Billy DeWolf	#	#	#	\Un	#
Selma Diamond	Diamond	Selma	#	\Un	F
Cameron Diaz	Diaz	Cameron	1970	\Un	G
Bobby DiCicco	#	#	#	\Un	#
Lucinda Dickey	#	#	#	\Un	F
Marlene Dietrich	von Losch	Maria M.	1901	\Ge	F
Anton Diffring	Diffring	Anton	1918	\Ge	M
Arthur Dignam	Dignam	Arhur	#	\Au	M
Mark Dignam	Dignam	Mark	1909	\Br	M
Phyllis Diller	Diller	Phyllis	1917	\Am	F
Matt Dillon	Dillon	Matt	1964	\Un	M
Richard Dimbleby	#	#	#	\Un	M
Celine Dion	Celine	Dion	1969	\Ca	F
Piero DiOrio	#	#	#	\Un	M
Dante DiPaolo	DiPaolo	Dante	#	\It	#
Loretta Divine	#	#	#	\Un	F
Richard Dix	Dix	Richard	1894	\Am	M
Donna Dixon	#	#	#	\Un	F
Ivan Dixon	#	#	#	\Un	M
Jean Dixon	Dixon	Jean	1896	\Am	F
Gitty Djamal	#	#	#	\Un	F
Joe Dobisch	#	#	#	\Un	M
Claire Dodd	Dodd	Claire	1908	\Am	F
John Doe	bn	fn	1953	\Am	M
William Doherty	#	#	#	\Un	M
Placido Domingo	Domingo	Placido	1940	\It	M
Arturo Dominici	#	#	#	\Un	M
Ruth Donelly	#	#	#	\Un	F
Donal Donnelly	Donelly	Donal	#	\Ir	M
Patrice Donnelly	#	#	#	\Un	#
Ruth Donnelly	Donnelly	Ruth	1896	\Am	F
King Donovan	fn	gn	#	\Br	M
James Doohan	#	#	#	\Un	M
Robert Doqui	#	#	#	\Un	M
Angela Dorian	#	#	#	\Un	F
Dolores Dorn	Dorn-Heft	D	1935	\Am	F
Philip Dorn	vanDongen	Frits	1905	\Du	M
Sandra Dorn	Dorn	Sandra	1925	\Br	F
Fifi D\'Orsay	Lussier	Yvonne	1904	\Ca	F
Susana Dosamantes	#	#	#	\Un	F
Roy Dotrice	Dotrice	Roy	1923	\Br	M
Diana Douglas	#	#	#	\Un	F
Donald Douglas	Douglas	Donald	1905	\Am	M
Kent Douglas	#	#	#	\Un	M
Kirk Douglas	Demsky	Issur Danielovitch	1916	\Am	M
Melvyn Douglas	Hesselberg	Melvyn	1901	\Am	M
Robyn Douglas	#	#	#	\Un	#
Sarah Douglas	#	#	#	\Un	F
Peggy Dow	Varnadow	Peggy	1928	\Am	F
Joan Dowling	Dowling	Joan	1929	\Br	F
Robert Downey~jr.	Downey	Robert~jr.	1965	\Am	M
Betsy Drake	Drake	Betsy	#	\Am	F
Paul Drake	#	#	#	\Un	M
Tom Drake	Drake	Tom	1918	\Am	F
Patrick Dray	#	#	#	\Un	M
Alex Dreier	Dreier	Alex	1916	\Am	M
Ellen Drew	Ray	Terry	1915	\Am	F
James Drury	Drury	James	1934	\Am	M
Don Dubbins	Dubbins	Don	1929	\Am	M
Lesley Dudley	#	#	#	\Un	#
Julia Duffy	Hinds	Julia	1951	\Am	F
Patrick Duffy	#	#	#	\Un	M
Andrew Duggan	Duggan	Andrew	1923	\Am	M
Richard Duggan	#	#	#	\Un	M
Olympia Dukakis	#	#	#	\Un	F
Jane Dulo	#	#	#	\Un	F
Sandra Dumas	#	#	#	\Un	F
Gerald duMaurier	#	#	#	\Un	M
Douglass Dumbrille	Dumbrille	Douglass	1890	\Ca	M
Carmen Duncan	#	#	#	\Un	F
Mary Duncan	Duncan	Mary	1903	\Am	F
Sandy Duncan	Duncan	Sandy	1946	\Am	F
Victor Dunlop	#	#	#	\Un	M
Liam Dunn	#	#	#	\Un	#
Robert Dunn	#	#	#	\Un	M
Griffin Dunne	Dunne	Griffin	1955	\Am	M
Steve Dunne	#	#	#	\Un	M
Don Dunphy	#	#	#	\Un	M
Minnie Dupree	Dupree	Minnie	1873	\Am	F
Ann Duprey	#	#	#	\Un	F
Anthony Durbee	#	#	#	\Un	M
Monique Dury	#	#	#	\Un	F
Robert Duvall	Duvall	Robert	1931	\Am	M
Shelley Duvall	Duvall	Shelley	1949	\Am	F
Ann Dvorak	McKim	Ann	1912	\Am	M
Peter Dvorsky	#	#	#	\Un	M
Leslie Dwyer	Dwyer	Leslie	1906	\Br	M
Franklin Dyall	Dyall	Franklin	1874	\Br	M
Cameron Dye	#	#	#	\Un	M
Bob Dylan	Zimmerman	Robert	#	\Am	M
Richard Dysart	#	#	#	\Un	M
William Dysart	#	#	#	\Un	M
George Dzunda	Dzunda	George	#	\Un	M
George Eastman	#	#	#	\Un	M
Marilyn Eastman	#	#	#	\Un	F
Alison Eastwood	#	#	#	\Am	F
Clint Eastwood	Eastwood	Clint	1930	\Am	M
Francesca Eastwood	#	#	1994	\Am	F
Kimber Eastwood	#	#	#	\Am	F
Kyle Eastwood	#	#	#	\Un	#
Shirley Eaton	Eaton	Shirley	#	\Br	F
Horst Ebersberg	#	#	#	\Un	M
Hasse Eckman	Hasse	Eckman	1915	\Sw	#
Nelson Eddy	Eddy	Nelson	1901	\Am	M
Vince Edwards	Zoine	Vincento Eduardo	1928	\Am	M
Richard Egan	Egan	Richard	1921	\Am	M
Sally Eilers	Eilers	Sally	1908	\Am	F
Anthony Eisley	Eisley	Fred	#	\Ct	M
Anita Ekberg	Ekberg	Anita	1931	\Sw	F
Laura Elliot	Elliot	Laura	1929	\Am	F
Denholm Elliott	Elliott	Denholm	1922	\Br	M
Edward Ellis	Ellis	Edward	1872	\Am	M
Isobel Elsom	Reed	Isobel	1893	\Br	F
Robert Emhardt	Emhardt	Robert	1916	\Am	M
Henry Ephron	Ephron	Henry	1911	\Ct	M
Leif Erickson	Anderson	William	1911	\Am	M
David Essex	Essex	David	1947	\Br	M
Gene Evans	Evans	Gene	1922	\Am	M
Judith Evelyn	Allen	J.E.	1913	\Am	F
Fabio	Lanzoni	Fabio	1961	\It	M
Douglas Fairbanks~sr	Ullman	Douglas	1883	\Am	M
Chris Farley	Farley	Chris	#	#	#
Franklyn Farnum	Farnum	Franklyn	1876	\Am	M
William Farnum	Farnum	William	1876	\Am	M
David Farrar	Farrar	David	1908	\Br	M
Farrah Fawcett	FawcettMajors	Farrah	1947	\Am	F
Alice Faye	Leppert	Alice	1912	\Am	F
Bekim Fehmiu	Fehmiu	Bekim	1932	\Cz	M
Marty Feldman	Feldman	Marty	1933	\Br	M
Maria Felix	Felix	Maria	1915	\Me	F
Norman Fell	Fell	Norman	1928	\Am	M
Edith Fellows	Fellows	Edith	1923	\Am	F
Sherilyn Fenn	Fenn	Sherilyn	1965	\Ct	F
Frank Ferguson	Ferguson	Frank	1899	\Am	M
Fernandel	Contandin	Fernand	1903	\Fr	M
Wilhelmina Fernandez	Fernandez	Wilhelmina Wiggins	#	#	F
Mel Ferrer	Ferrer	Mel	1917	\Am	M
Benoit Ferreux	#	#	1955	\Fr	M
Stepin Fetchit	Perry	Lincoln	1898	\Am	M
Mary Field	Field	Mary	1905	\Am	F
Virginia Field	Field	Margaret Cynthia	1917	\Br	F
Fenella Fielding	Fielding	Fenella	1930	\Br-\Rm	F
Marjorie Fielding	Fielding	Marjorie	1892	\Br	F
Peter Finch	Finch	Peter	1916	\Br	M
James Finlayson	Finlayson	James	1877	\Br; Scots	M
Carrie Fisher	Fisher	Carrie	1956	\Am	F
Ella Fitzgerald	Fitzgerald	Ella	1918	\Am	F
Paul Fix	Morrison	Paul Fix	1901	\Am	M
Kirsten Flagstad	Flagstad	Kirsten	1895	\No	F
Ed Flanders	Flanders	Ed	1934	\Am	M
Errol Flynn	Flynn	Errol	1909	\Au	M
Joan Fontaine	deHavilland	Joan de Beauvoir	1917	\Br	F
Dorothy Ford	Ford	Dorothy	1923	\Am	F
Glenn Ford	Ford	Gwyllyn	1916	\Ca	M
Harrison Ford	Ford	Harrison	1917	\Am	M
George Formby	Formby	George	1905	\Br	M
Robert Forster	Forster	Robert	1942	\Am	M
John Forsythe	Freund	John	1918	\Am	M
Meg Foster	Foster	Meg	#	\Am	F
Susanna Foster	Larsen	Susan	1924	\Am	F
Byron Foulger	Foulger	Byron	1900	\Am	M
Bernard Fox	Fox	Bernard	#	\Br	M
James Fox	Fox	James	1939	\Br	M
Eddie Foy~jr.	Foy~jr	Eddie	1905	\Am	M
Victor Francen	Francen	Victor	1888	\Be	M
Connie Francis	Franconero	Constance	1938	\Am	F
Kay Francis	Gibbs	Katherine	1899	\Am	F
Don Francks	Francks	Don	1932	\Ca	M
Jacques Francois	Fran{\c}cois	Jacques	#	\Fr	M
Aretha Franklin	#	#	#	#	F
Ronald Fraser	Fraser	Ronald	1930	\Br	M
William Frawley	Frawley	William	1887	\Am	M
Mona Freeman	Freeman	Monica	1926	\Am	F
Pierre Fresnay	Laudenbach	Pierre-Jules-Lions	1897	\Fr	M
Jonathan Frid	Frid	Jonathan	1925	#	M
Blanche Friderici	Friderici	Blanche	1878	\Am	F
Gert Frobe	Fr\"obe	Gert	1913	\Ge	M
Gustav Froehlich	Fr\"ohlich	Gustav	#	\Ct	M
Zsa Zsa Gabor	Gabor	Sari	1917	\Hu	F
Helen Gahagan	Gahagan Douglas	Helen	#	\Am	F
Abel Gance	Gance	Abel	#	\Fr	M
Bruno Ganz	Ganz	Bruno	#	\Ge	M
Greta Garbo	Gustafson	Greta	1905	\Sw	F
Carlos Gardel	Gardel	Carlos	1893	\Ar	M
Reginald Gardiner	Gardiner	Reginald	1903	\Br	M
John Garfield	Garfinkle	Jacob Julius	1913	\Am	M
Art Garfunkel	Garfunkel	Arthur	#	\Am	M
Beverly Garland	Fessenden	Beverly	1926	\Am	F
Betty Garrett	Garrett	Betty	1919	\Am	F
John Garrick	Doudy	Reginald	1902	\Br	M
Jennie Garth	Garth	Jennie	1972	\Am	F
Peter Gawthorne	Gawthorne	Peter	1884	\Br	M
Janet Gaynor	Gainer	Laura	1906	\Am	F
Ben Gazzara	Gazzara	Ben	1930	\Am	M
Will Geer	Ghere	William	1902	\Am	M
Meg Gehrts	Gehrts	Emma Auguste	1891	\Ge	F
Guiliano Gemma	Gemma	Guiliano	1940	\It	M
Laura Gemser	#	#	#	#	F
Muriel George	George	Muriel	1883	\Br	F
Carmelita Geraghty	#	#	#	\Am	F
Alice Ghostley	Ghostley	Alice	1926	\Am	F
William Gillette	Gillette	William	1855	\Am	M
Hermione Gingold	Gingold	Hermione	1897	\Br	F
Dorothy Gish	Gish	Dorothy	1898	\Am	F
Carlin Glynn	Glynn	carlin	#	#	F
Mary Glynne	Glynne	Mary	1898	\Br	F
Paulette Goddard	Levy	Marion	1911	#	F
Peter Gonzales	Gonzales	Peter	#	\Am	M
Michael Goodliffe	Goodliffe	Michael	1914	\Br	M
Leo Gorcey	Gorcey	Leo	1915	\Am	M
Gale Gordon	Aldrich	Gaylord	1905	\Am	M
Leo Gordon	Gordon	Leo	1922	#	M
Mary Gordon	Gordon	Mary	1882	\Br; Scots	F
Marius Goring	Goring	Marius	1912	\Br	M
Frank Gorshin	Gorshin	Frank	1935	\Am	M
Lou Gossett	Gosset	Louis	1936	\Am	M
Elliott Gould	Goldstein	Elliott	1938	\Am	M
Betty Grable	Grable	Ruth Elizabeth	1916	\Am	F
Gloria Grahame	Hallward	Gloria	1924	\Am	F
Farley Granger	Granger	Farley	1928	\Am	M
Peter Graves	Aurnes	Peter	1925	\Am	M
Charles Gray	Gray	Donald M.	1928	\Br	M
Dolores Gray	Gray	Dolores	1924	\Am	F
Kathryn Grayson	Hedrick	Zelma	1922	\Am	F
Juliette Greco	Greco	Juliette	1927	\Fr	F
Leon Green	Green	Leon	#	\Br	M
Lorne Greene	Greene	Lorne	1915	\Ca	M
Charlotte Greenwood	Greenwood	Charlotte	1890	\Am	F
Joan Greenwood	Greenwood	Joan	1921	\Br	F
Mark Gregory	#	#	#	#	M
Robert Greig	Greig	Robert	1880	\Au	M
Joyce Grenfell	Phipps	Joyce	1910	\Br	F
Jennifer Grey	Grey	Jennifer	1960	\Am	F
Joel Grey	Katz	Joe	1932	\Am	M
Andy Griffith	Griffith	Andy	1926	\Am	M
(Welsh)	#	#	#	#	#
Kenneth Griffith	Griffith	Kenneth	1921	\Br; Welsh	M
George Grizzard	Grizzard	George	1925	\Am	M
