filmid	title	actor
MLR6	T:Big City Blues	Walter Catlett
MLR6	T:Big City Blues	Lyle Talbot
MLR6	T:Big City Blues	Ned Sparks
MLR7	T:Three on A Match	Patricia Ellis
MLR8	T:I am Fugitive from a Chain Gang	Preston Foster
MLR8	T:I am Fugitive from a Chain Gang	Allen Jenkins
MLR8	T:I am Fugitive from a Chain Gang	Berton Churchill
MLR12	T:Three on a Match	Lyle Talbot
MLR12	T:Three on a Match	Allen Jenkins
MLR14	T:Gold Diggers of 1933	Ned Sparks
MLR16	T:I Found Stella Parrish	Paul Lukas
MLR16	T:I Found Stella Parrish	Barton Maclane
MLR18	T:Anthony Adverse	Olivia deHavilland
MLR18	T:Anthony Adverse	Anita Louise
MLR18	T:Anthony Adverse	Louis Hayward
MLR18	T:Anthony Adverse	Akim Tamiroff
MLR18	T:Anthony Adverse	Ralph Morgan
MLR22	T:Waterloo Bridge	Lucille Watson
MLR22	T:Waterloo Bridge	Maria Ouspenskaya
MLR23	T:Escape	Norma Shearer
MLR23	T:Escape	Philip Dorn
MLR23	T:Escape	Albert Basserman
MLR27	T:Random Harvest	Philip Dorn
MLR27	T:Random Harvest	Reginald Owen
MLR27	T:Random Harvest	Margaret Wycherly
MLR27	T:Random Harvest	Bramwell Fletcher
MLR27	T:Random Harvest	Arthur Margetson
MLR29	T:Thirty Seconds over Tokyo	Phyllis Thaxter
MLR30	T:Without Reservations	Phil Brown
MLR31	T:Desire Me	Morris Ankrum
MLR32	T:Little Women	Peter Lawford
MLR32	T:Little Women	Margaret OBrien
MLR32	T:Little Women	Mary Astor
MLR34	T:East Side West Side	Barbara Stanwyk
MLR34	T:East Side West Side	Ava Gardner
MLR34	T:East Side West Side	Nancy Davis
MLR35	T:Quo Vadis	Marina Berti
MLR35	T:Quo Vadis	Nora Swinburne
MLR35	T:Quo Vadis	Norman Wooland
MLR39	T:Million Dollar Mermaid	Maria Tallchief
MLR40	T:Lovely To Look At	Ann Miller
MLR40	T:Lovely To Look At	Red Skelton
MLR42	T:Rose-Marie	Ann Blyth
MLR43	T:The Bad Seed	Paul Fox
MLR50	T:The Devil at Four o'Clock	Alexander Scourby
MLs10	T:House of Cards	Asha Menina
MLs10	T:House of Cards	Park Overall
MLt5	T:Gold of the Amazon Women	Anita Ekberg
MLt10	TZ:Class of '84	Perry King
MLt15	TZ:Firestarter	Martin Sheen
MLt15	TZ:Firestarter	Art Carney
MLt15	TZ:Firestarter	Louise Fletcher
MLt15	TZ:Firestarter	Moses Gunn
MLt15	TZ:Firestarter	Antonio Fargas
MlW10	T:Glorifying the American Girl	Otto Kahn
MM10	TZ:Thief	Willie Nelson
MM10	T:Thief	Willie Nelson
MM20	T:The Keep	Alberta Watson
MM30	T:The Last of the Mohicans	Madeleine Stowe
MM30	T:The Last of the Mohicans	Maurice Roeves
MMi21	T:National Lampoon's Class Reunion	Michael Lerner
MMi21	T:National Lampoon's Class Reunion	Miriam Flynn
MmL10	T:The Peacemaker	Nicole Kidman
MmL10	T:The Peacemaker	Marcel Iures
MmL12	T:Deep Impact	Maximilian Schell
MmL12	T:Deep Impact	Rachel Saenz
MmL12	T:Deep Impact	Anna Cromwell
MmL12	T:Deep Impact	Nancy/Mary McCurran
MmL12	T:Deep Impact	Blair Underwood
MmL12	T:Deep Impact	Ben Underwood
MmL12	T:Deep Impact	Loren J.
MmL12	T:Deep Impact	Michael Schiff
MN2	T:The Graduate	Murray Hamilton
MN2	T:The Graduate	Alice Ghostley
MN3	T:Catch 22	Alan Arkin
MN3	T:Catch 22	Martin Balsam
MN3	T:Catch 22	Richard Benjamin
MN3	T:Catch 22	Art Garfunkel
MN3	T:Catch 22	Bob Newhart
MN3	T:Catch 22	Anthony Perkins
MN3	T:Catch 22	Paula Prentiss
MN3	T:Catch 22	Martin Sheen
MN3	T:Catch 22	Orson Welles
MN4	T:Carnal Knowledge	Art Garfunkel
MN5	T:The Day of the Dolphin	Paul Sorvino
MN6	T:The Fortune	Richard B. Shull
MN11	T:Heartburn	Meryl Streep
MN11	T:Heartburn	Maureen Stapleton
MN11	T:Heartburn	Milos Forman
MN15	T:Working Girl	Nora Dunn
MN15	T:Working Girl	Alec Baldwin
MN15	T:Working Girl	Philip Bosco
MN15	T:Working Girl	Olympia Dukakis
MN20	T:Postcards from the Edge	Richard Dreyfuss
MN20	T:Postcards from the Edge	Oliver Platt
MN20	T:Postcards from the Edge	Mary Wickes
MN20	T:Postcards from the Edge	Michael Ontken
MN20	T:Postcards from the Edge	Pepe Serna
MN22	T:Regarding Henry	Mikki Allen
MN25	T:Wolf	Michelle Pfeiffer
MnB10	TZ:Power Play	Peter OToole
MnB10	TZ:Power Play	Barry Morse
MnB22	T:Pirates of Silicon Valley	Noah Wyle
MnB22	T:Pirates of Silicon Valley	Bodhi Pine Elfman
MNe20	T:Enchanted April	Miranda Richardson
MNe25	T:Four Weddings and a Funeral	Andie MacDowell
MnK20	T:The Cloud Door	Murad Ali
MNo10	T:Dillinger	Anne Jeffreys
MoB10	T:The Torrent	Ricardo Cortez
MoB10	T:The Torrent	Lucien Littlefield
MoF1	T:Bohpa!	Marius Weyers
MOp4	T:Liebelei	Luise Ullrich
MOp4	T:Liebelei	Willy Eichberger
MOp4	T:Liebelei	Paul Hoerbiger
MOp14	T:The Exile	Maria Montez
MOp14	T:The Exile	Paul Croset
MOp14	T:The Exile	Nigel Bruce
MOp16	T:Letter From an Unknown Woman	Mady Christians
MOp16	T:Letter From an Unknown Woman	Art Smith
MOp16	T:Letter From an Unknown Woman	Marcel Journet
MOp20	T:Le Plaisir	Madelaine Reanaud
MOp22	T:Lola Montes	Peter Ustinov
MOp22	T:Lola Montes	Oskar Werner
MOp30	T:Banana Peel	Alain Cuny
MoT10	T:Virgin Machine	Peter Kern
MP4	T:The Thief of Bagdad	Morton Selten
MP6	T:49th Parallel	Raymond Massey
MP6	T:49th Parallel	Niall McGinnis
MP6	T:49th Parallel	Raymond Lovell
MP8	T:The Life and Death of Colonel Blimp	Anton Walbrook
MP8	T:The Life and Death of Colonel Blimp	Albert Lieven
MP8	T:The Life and Death of Colonel Blimp	Arthur Wontner
MP9	T:The Volunteer	Ralph Richardson
MP11	T:I Know Where I Am Going	Pamela Brown
MP11	T:I Know Where I Am Going	Nancy Price
MP11	T:I Know Where I Am Going	Margot Fitzsimmons
MP11	T:I Know Where I Am Going	Petula Clark
MP12	T:A Matter of Life and Death	Marius Goring
MP12	T:A Matter of Life and Death	Raymond Massey
MP15	T:The Red Shoes	Moira Shearer
MP15	T:The Red Shoes	Marin Goering
MP15	T:The Red Shoes	Albert Basserman
MP15	T:The Red Shoes	Ludmilla Tcherina
MP18	T:The Elusive Pimpernel	Margaret Leighton
MP19	T:The Tales of Hoffman	Ludmilla Tcherina
MP19	T:The Tales of Hoffman	Mogens Wieth
MP25	T:Oh Rosalinda!!	Michael Redgrave
MP25	T:Oh Rosalinda!!	Annaliese Rothenberger
MP31	T:The Battle of the River Plate	Anthony Quayle
MP31	T:The Battle of the River Plate	Peter Finch
MP31	T:The Battle of the River Plate	Bernard Lee
MP35	T:Peeping Tom	Anna Massey
MP35	T:Peeping Tom	Michael Goodliffe
MPa1	T:C\'esar	Raimu
MPa3	T:Gribouille	Michele Morgan
MPe10	T:La Ultima Siembra	Patricio Contreras
MPe10	T:La Ultima Siembra	Mario Pasik
MPe10	T:La Ultima Siembra	Alberto Benegas
MPi40	T:A Nos Amours	Maurive Pialat
MPr4	T:Boulevard Nights	Marta duBois
MPr6	T:Some Kind of Hero	Margot kidder
MPr6	T:Some Kind of Hero	Ray Sharkey
MPr11	T:Pirates of Penzance	Linda Ronstadt
MPr11	TZ:Pirates of Penzance	Rex Smith
MR2	T:No Down Payment	Patricia Owens
MR2	T:No Down Payment	Barbara Rush
MR2	T:No Down Payment	Pat Hingle
MR3	T:The Long Hot Summer	Angela Lansbury
MR3	T:The Long Hot Summer	Anthony Franciosa
MR3	T:The Long Hot Summer	Richard Anderson
MR4	T:Black Orchid	Mark Richman
MR9	T:Hud	Paul Newman
MR11	T:The Spy Who Came in from the Cold	Peter vanEyck
MR11	T:The Spy Who Came in from the Cold	Michael Hodern
MR11	T:The Spy Who Came in from the Cold	Bernard Lee
MR11	T:The Spy Who Came in from the Cold	Beatrix Lehman
MR12	T:Hombre	Paul Newman
MR12	T:Hombre	Richard Boone
MR12	T:Hombre	Martin Balsam
MR13	T:The Brotherhood	Alex Cord
MR13	T:The Brotherhood	Luther Adler
MR13	T:The Brotherhood	Murray Hamilton
MR14	T:The Great White Hope	Lou Gilbert
MR14	T:The Great White Hope	Moses Gunn
MR15	T:The Molly Macguires	Anthony Zerbe
MR15	T:The Molly Macguires	Bethel Leslie
MR17	T:Pete 'n Tillie	Barry Nelson
MR19	T:The Front	Zero Mostel
MR19	T:The Front	Remak Ramsey
MR19	T:The Front	Michael Murphy
MR25	T:Back Roads	Miriam Colon
MR25	T:Back Roads	Michael Gazzo
MR29	T:Cross Creek	Mary Steenburgen
MR29	T:Cross Creek	Alfre Woodard
MR29	T:Cross Creek	Malcolm Dowell
MR30	T:Nuts	Barbra Streisand
MR30	T:Nuts	William Prince
MR34	T:Iris and Stanley	Martha Plimpton
MRa10	T:From the Journals of Jean Seberg	Mary Beth Hurt
MRb10	TZ:Corvette Summer	Annie Potts
MRb15	TZ:The Dragonslayer	Ralph Richardson
MRc10	TZ:Union City	Pat Benatar
MRe7	T:Rockets Galore	Noel Purcell
MRm20	T:The Invader	Ben Cross
MRm20	T:The Invader	Nick Mancusi
MRP14	T:Posse	Melvin VanPeebles
MRP14	T:Posse	Pam Grier
MRP14	T:Posse	Nipsey Russell
MRP14	T:Posse	Billy Zane
MRP14	T:Posse	Big Daddy Kane
MRr5	T:The Plot Against Harry	Ben Lang
MRr5	T:The Plot Against Harry	Margo Solin
MRr5	T:The Plot Against Harry	Maxine Woods
MRs13	T:Isle of the Dead	Marc Cramer
MRs13	T:Isle of the Dead	Alan Napier
MRs21	T:Peyton Place	Lloyd Nolan
MRs21	T:Peyton Place	Betty Field
MRs25	T:The Bridges at Toko-Ri	Willis Bouchey
MRs32	T:Inn of the Sixth Happiness	Athene Seyler
MRs32	T:Inn of the Sixth Happiness	Moultrie Kelsall
MRs36	T:The Prize	Paul Newman
MRs36	T:The Prize	Michelin Presle
MRs39	T:Valley of the Dolls	Paul Burke
MRs43	T:Earthquake	Ava Gardner
MRs43	T:Earthquake	Lorne Greene
MRs43	T:Earthquake	Marjoe Gortner
MRs43	T:Earthquake	Barry Sullivan
MRt5	T:The Candidate	Peter Boyle
MRt5	T:The Candidate	Melvyn Douglas
MRt6	T:Smile	Barbara Feldon
MRt6	T:Smile	Michael Kidd
MRt6	T:Smile	Annette OToole
MRt6	T:Smile	Maria OBrien
MRt6	T:Smile	Melanie Griffith
MRt6	T:Smile	Nicholas Pryor
MRt8	TZ:Semi-Tough	Lotte Lenya
MRt11	T:The Island	Angela Punch McGregor
MRt25	T:Diggstown	Lou Gossett~jr.
MRh10	T:Das Merkwuerdige Verhalten geschlechtsreifer Grossstaedter zur Paarungszeit	Anica Dobra
MRh10	T:Das Merkwuerdige Verhalten geschlechtsreifer Grossstaedter zur Paarungszeit	Ann-Kathrin Kramer
MRv6	T:Witchfinder General	Patrick Wymark
MRy5	TZ:Harry and Walter Go to New York	Michael Caine
MRy9	TZ:The Rose	Alan Bates
MRy19	T:For the Boys	Arye Gross
MRy21	T:Intersection	Lolita Davidovich
MRy21	T:Intersection	Matthew Walker
MS2	T:Boxcar Bertha	Barry Primus
MS3	T:Mean Streets	Amy Robinson
MS5	T:Taxi Driver	Albert Brooks
MS5	T:Taxi Driver	Martin Scorsese
MS7	T:New York, New York	Liza Minnelli
MS7	T:New York, New York	Lionel Stander
MS7	T:New York, New York	Barry Primus
MS7	T:New York, New York	William Tole
MS10	T:The Last Waltz	Muddy Waters
MS10	T:The Last Waltz	Paul Butterfield
MS10	T:The Last Waltz	Neil Diamond
MS18	T:Raging Bull	Nicholas Colasanto
MS19	T:The King of Comedy	Liza Minelli
MS21	T:The Color of Money	Bill Cobbs
MS25	T:Goodfellas	Ray Liotta
MS26	T:Cape Fear	Martin Balsam
MS28	T:The Age of Innocence	MaryBeth Hurt
MS28	T:The Age of Innocence	Alec McGowan
MS30	T:Casino	Al Pacino
MSa6	T:The Gay Divorcee	Alice Brady
MSa6	T:The Gay Divorcee	Lillian Miles
MSa6	T:The Gay Divorcee	Paul Porcasi
MSa8	T:Follow the Fleet	Randolph Scott
MSa8	T:Follow the Fleet	Astrid Allwyn
MSa8	T:Follow the Fleet	Lucille Ball
MSa8	T:Follow the Fleet	Betty Grable
MSa9	T:A Woman Rebels	Margaret Seddon
MSa9	T:A Woman Rebels	Lionel Pape
MSa10	T:Shall We Dance	Ann Shoemaker
MSa12	T:Carefree	Luella Gear
MSa12	T:Carefree	Walter Kingsford
MSC10	T:The Show-Off	Louise Brooks
MSe15	T:Fatty and Mabel at the San Diego Exposition	Mabel Normand
MSe15	T:Fatty and Mabel at the San Diego Exposition	Minta Durfee
MSe18	T:Fatty and Mabel's Simple Life	Mabel Normand
MSe18	T:Fatty and Mabel's Simple Life	Al StJohn
MSf10	T:La Cabalgata del Circo	Orestes Caviglia
MSf10	T:La Cabalgata del Circo	Orestes Caviglia
MSf10	T:La Cabalgata del Circo	Armando Boffilde Pirovano
MSJ10	T:Simon Birch	Beatrice Winden
MSL10	TZ:Strange Behavior	Michael Murphy
MSL10	TZ:Strange Behavior	Louise Fletcher
MSL10	TZ:Strange Behavior	Arthur Dignam
MSL15	TZ:Strange Invaders	Nancy Allen
MSL15	TZ:Strange Invaders	Louise Fletcher
MSL15	TZ:Strange Invaders	Paul LeMat
MSL15	TZ:Strange Invaders	Michael Lerner
MSL15	TZ:Strange Invaders	Wallace Shawn
MSm14	T:Radioland Murders	Mary Stuart Masterson
MSm14	T:Radioland Murders	Ned Beatty
MSm14	T:Radioland Murders	Michael Lerner
MSm17	T:Bean	Peter McNicol
MSm17	T:Bean	Pamela Reed
MSm17	T:Bean	Peter Egan
MSo10	T:La Chiesa	Asia Argento
MSo10	T:La Chiesa	Barabara Cupisti
MSt30	T:Erotikon	Anders deWahl
MSt53	T:The Temptress	Antonio Moreno
MSt53	T:The Temptress	Marc McDermott
MSw10	T:Children of the Dark	Peter Horton
MSw10	T:Children of the Dark	Bill Smitrovich
MSw10	T:Children of the Dark	Meg Dotrice
MSw10	T:Children of the Dark	Nallig Horrigan
MSz8	TZ:Car Wash	Melanie Mayron
MSz10	T:Which Way is Up	Lonette McKee
MSz10	T:Which Way is Up?	Margaret Avery
MSz10	T:Which Way is Up?	Morgan Woodward
MSz11	TZ:Greased Lightning	Beau Bridges
MSz11	TZ:Greased Lightning	Pam Grier
MSz15	TZ:Carbon Copy	Paul Winfield
MtC10	T:No Escape	Ray Liotta
MtC12	T:GoldenEye	Pierre Brosnan
MtC15	T:The Mask of Zorro	Antonio Banderas
MtC15	T:The Mask of Zorro	Matt Litcheck
MtD10	TZ:Hero at Large	Anne Archer
MtD10	TZ:Hero at Large	Bert Convy
MtM10	T:The Opposite Sex and How to Live with Them	Arye Gross
MtR1	T:Straight out of Brooklyn	Ann D. Sanders
MTU10	T:The Wash	Patty Yatsutake
MuB5	T:The Beachcomber	Paul Rogers
MuB5	T:The Beachcomber	Walter Crisham
MuB5	T:The Beachcomber	Michael Hordern
MvC10	TZ:Evel Knievel	Bert Freed
MvC20	TZ:Little Ladies of the Night	Linda Purl
MvC20	TZ:Little Ladies of the Night	Lou Gossett~jr.
MvC20	TZ:Little Ladies of the Night	Paul Burke
MVP5	T:The Story of a Three Day Pass	Nicole Beringer
MVP20	T:Sweet Sweetbackk's Badasssss Song	Melvin VanPeebles
MVP22	T:Don't Play Us Cheap	Avon Long
MVP22	T:Don't Play Us Cheap	Rhetta Hughes
MVP40	T:Identity Crisis	Mario VanPeebles
MvS1	T:The Seven Little Foys	Bob Hope
MvS2	T:Beau James	Paul Douglas
MvS3	T:Houseboat	Martha Hyer
MvS4	T:The Five Pennies	Barbara BelGeddes
MvS4	T:The Five Pennies	Bob Crosby
MvS4	T:The Five Pennies	Ray Anthony
MvS6	T:On the Double	Margaret Rutherford
MvS6	T:On the Double	Alan Cuthbertson
MvS10	T:The Pigeon That Took Rome	Baccaloni
MvS12	T:A New Kind of Love	Paul Newman
MvS12	T:A New Kind of Love	Maurice Chevalier
MvT10	T:The Return	Barbara Sukowa
MWa10	TZ:Wolfen	Albert Finney
MWid15	T:Welcome to Sarajevo	Marisa Tomei
MxB10	T:Ode to Billy Joe	Max Baer
MxR10	T:A Midsummer Night's Dream	Mickey Rooney
MxR10	T:A Midsummer Night's Dream	Olivia deHavilland
MxR10	T:A Midsummer Night's Dream	Arthur Treacher
MxR10	T:A Midsummer Night's Dream	Otis Harlan
MxR10	T:A Midsummer Night's Dream	Anita Louise
MYa20	T:Ai Ni Tsuite, Tokyo	Qian Po
MyR10	TZ:Student Bodies	Matt Goldsby
MyR10	T:Student Bodies	Richard Brando
MZa5	T:Laughter in Paradise	Alastair Sim
MZa5	T:Laughter in Paradise	Beatrice Campbell
MZa5	T:Laughter in Paradise	Audrey Hepburn
MZa10	T:Now and Forever	Pamela Brown
MZa10	T:Now and Forever	Marjorie Rhodes
MzN15	T:Volare Volare	Patrizio Roversi
NBr10	T:Dark Obsession	Amanda Donohue
NCh10	T:Stand Up Virgin Soldiers	Nigel Davenport
NeJ10	T:Angel	Alan Devlin
NeJ10	T:Angel	Peter Caffrey
NeJ12	T:The Company of Wolves	Angela Lansbury
NeJ12	T:The Company of Wolves	Brain Glover
NeJ12	T:The Company of Wolves	Micha Bergese
NeJ16	T:We're No Angels	Wallace Shawn
NeJ20	T:The Miracle	Bevery DAngelo
NeJ20	T:The Miracle	Niall Byrne
NeJ22	T:The Crying Game	Miranda Richardson
NeJ28	T:The Butcher Boy	Allen Boyd
NF3	T:Think Fast, Mr.~Moto	Peter Lorre
NF4	T:Thank You, Mr.~Moto	Peter Lorre
NF4	T:Thank You, Mr.~Moto	Pauline Frederick
NF4	T:Thank You, Mr.~Moto	William vonBrincken
NF4	T:Thank You, Mr.~Moto	Nedda Harrigan
NF4	T:Thank You, Mr.~Moto	Philip Ahn
NF7	T:Mysterious Mr.~Moto	Mary Macguire
NF12	T:Mr.~Moto Takes a Vacation	Peter Lorre
NF13	T:Charlie Chan at Treasure Island	Pauline Moore
NF13	T:Charlie Chan at Treasure Island	Billie Seward
NF13	T:Charlie Chan at Treasure Island	Wally Vernon
NF13	T:Charlie Chan at Treasure Island	Louis Jean Heydt
NF16	T:Journey into Fear	Agnes Moorehead
NF16	T:Journey into Fear	Richard Bennett
NF29	T:Indian Paint	Pat Hogan
NF29	T:Indian Paint	Bobby Crawford
NGr10	T:Good News	Bessie Love
NGr10	T:Good News	Mary Lawlor
NGr10	T:Good News	Lola Lane
NGr20	T:Before I Hang	Pedro deCordoba
NHa10	T:Martha - Meet Frank, Daniel and Laurence	Monica Potter
NHy15	T:The Object of My Affection	Alan Alda
NHy15	T:The Object of My Affection	Nigel Hawthorne
NiC30	T:Dennis the Menace	Paul Winfield
NiC30	T:Dennis the Menace	Mason Gamble
NiG10	TZ:The Little Girl Who Lives Down the Lane	Martin Sheen
NiG10	TZ:The Little Girl Who Lives Down the Lane	Alexis Smith
NiG10	TZ:The Little Girl Who Lives Down the Lane	Mort Shuman
NiG20	TZ:It Rained All Night the Day I Left	Lou Gossett~jr.
NiM5	T:Time After Time	Malcolm McDowell
NiM5	T:Time After Time	Mary Steenburgen
NiM12	T:Star Trek II: The Wrath of Khan	William Shatner
NiM12	T:Star Trek II: The Wrath of Khan	Walter Koenig
NiM12	T:Star Trek II: The Wrath of Khan	Nichelle Nichols
NiM13	TZ:The Day After	Amy Madigan
NiM13	TZ:The Day After	Bibi Besch
NiM20	T:The Deceivers	Pierre Brossman
NiM30	T:Star Trek VI, The Undiscovered Country	William Shatner
NiM30	T:Star Trek VI, The Undiscovered Country	Nichelle Nichols
NiM30	T:Star Trek VI, The Undiscovered Country	Nichel Nichols
NiM30	T:Star Trek VI, The Undiscovered Country	Walter Koenig
NiM30	T:Star Trek VI, The Undiscovered Country	Michael Dorn
NiR1	T:Performance	Michele Breton
NiR2	T:Walkabout	Lucien John
NiR3	T:Don't Look Now	Massimo Serrato
NiR4	T:The Man Who Fell to Earth	Bernie Casey
NiR40	T:Castaway	Amanda Donohue
NIs10	TZ:Bachelor Party	William Tepper
NIs10	TZ:Bachelor Party	Barbara Stuart
NJ5	TZ:Cincinnati Kid	AnnMargret
NJ7	T:In the Heat of the Night	Quentin Dean
NJ7	T:In the Heat of the Night	Beah Richards
NJ7	T:In the Heat of the Night	William Schallert
NJ7	T:In the Heat of the Night	Peter Masterson
NJ7	T:In the Heat of the Night	Matt Clark
NJ7	T:In the Heat of the Night	Peter Whitney
NJ8	T:The Thomas Crown Affair	Paul Burke
NJ11	T:Fiddler on the Roof	Molly Picon
NJ11	T:Fiddler on the Roof	Norma Crane
NJ13	T:Rollerball	Maud Adams
NJ14	TZ:F.I.S.T.	Peter Boyle
NJ16	T:Best Friends	Barnard Hughes
NJ20	T:Agnes of God	Anne Bancroft
NJ20	T:Agnes of God	Meg Tilly
NJ25	T:Moonstruck	Anita Gillette
NJ25	T:Moonstruck	Antonia Minelli
NJu10	T:Hellcats of the Navy	Nancy Davis
NJu10	T:Hellcats of the Navy	Arthur Franz
NkM10	T:Bank Robber	Michael Jeter
NKz10	T:Dream Lover	Madchen Amick
NKz10	T:Dream Lover	Bess Armstrong
NLB11	T:Your Friends and Neighbors	Amy Brenneman
NLl97	T:The Human Interest Story	Arthur Hill
NLl99	T:Anniversary Gift	Barbara Baxley
NLl102	T:The Day of the Bullet	Barry Gordon
NLl106	T:Oh Youth, oh Beauty	Maurice Manson
NLl107	T:Incident in a Small Jail	Myron Healey
NlM10	T:Pain of Love	Bithe Neumann
NML1	T:Monkey Business	Zeppo Marx
NML2	T:Horse Feathers	Nat Pendleton
NML4	T:Alice in Wonderland	Ned Sparks
NML5	T:It's a Gift	Baby LeRoy
NML7	T:Topper	Billie Burke
NML7	T:Topper	Alan Mowbray
NML7	T:Topper	Arthur Lake
NML10	T:Topper Takes a Trip	Billie Burke
NML10	T:Topper Takes a Trip	Alan Mowbray
NML20	T:Swing Shift Maisie	Ann Sothern
NML21	T:The Kid from Brooklyn	Walter Abel
NML21	T:The Kid from Brooklyn	Lionel Stander
NML24	T:Road to Rio	Bing Crosby
NML31	T:Casanova's Big Night	Basil Rathbone
NML31	T:Casanova's Big Night	Audrey Dalton
NML31	T:Casanova's Big Night	Primo Carnera
NML31	T:Casanova's Big Night	Arnold Moss
NML31	T:Casanova's Big Night	Lon Chaney~jr.
NMv1	T:Dark Eyes	Marthe Keller
NMv1	T:Dark Eyes	Pina Cei
NNo1	T:River of Unrest	Paul Farrell
NNo3	T:Las Vegas Lady	Andrew Stevens
NNo3	T:Las Vegas Lady	Lynne Moody
NNo7	T:King of the Mountain	Bill Forsythe
NNo8	T:Night Partners	M.Emmet Walsh
NNo13	T:Full Exposure: The Sex Tape Scandal	Lisa Hartman
NoB3	T:Pretty Poison	Beverly Garland
NoB10	TZ:Private School	Ray Walston
NoB10	TZ:Private School	Matthew Modine
NoE1	T:This is my Life	Bob Nelson
NoE1	T:This is my Life	Marita Geraghty
NoE1	T:This is my Life	Annie Golden
NoE5	T:The Women	Meg Ryan
NoL10	T:Bulldog Drummond at Bay	Richard Bird
NoL26	T:No Escape	Billy Milton
NoL26	T:No Escape	Ralph Ince
NoT3	T:The Ugly Dachshund	Parley Baer
NoT3	T:The Ugly Dachshund	Mako
NoT12	TZ:Snowball Express	Nancy Olson
NoT15	TZ:Cat from Outer Space	MacLean Stevenson
NOx20	T:Rhapsodia Satanica	Lyda Borelli
NPa3	T:The Court Jester	Basil rsthbone
NPa3	T:The Court Jester	Mildred Parker
NPa3	T:The Court Jester	Angela Lansbury
NPa3	T:The Court Jester	Michael Pate
NPa3	T:The Court Jester	Alan Napier
NR2	T:A Woman's Secret	Maureen oHare
NR2	T:A Woman's Secret	Melvyn Douglas
NR2	T:A Woman's Secret	Bill Williams
NR5	T:In a Lonely Place	Art Smith
NR8	TZ:The Lusty Men	Arthur Kennedy
NR11	T:Rebel Without a Cause	Natalie Wood
NR11	T:Rebel Without a Cause	Nick Adams
NR11	TZ:Rebel Without a Cause	Ann Doran
NR20	T:55 Days at Peking	Paul Lukas
NR20	T:55 Days at Peking	Massimo Serrato
NRe6	T:Longtime Companion	Mark Lamos
NRe10	T:Prelude to a Kiss	Meg Ryan
NRe10	T:Prelude to a Kiss	Alec Baldwin
NRe10	T:Prelude to a Kiss	Ned Beatty
NRe10	T:Prelude to a Kiss	Patty Duke
NSg10	T:The Happy Hooker	Lovelady Powell
NSg10	T:The Happy Hooker	Nicholas Pryor
NSv10	T:Household Saints	Lilly Taylor
NT20	T:Skippy	Mitzi Green
NT30	T:Huckleberry Finn	Mitzi Green
NT31	T:The Phantom President	Alan Mowbray
NT31	T:The Phantom President	Paul Hurst
NT36	T:We're Not Dressing	Bing Crosby
NT36	T:We're Not Dressing	Ray Milland
NT40	T:Mrs.~Wiggs of the Cabbage Patch	Zasu Pitts
NT44	T:The Big Broadcast of 1936	Lyda Roberti
NT44	T:The Big Broadcast of 1936	Benny Baker
NT44	T:The Big Broadcast of 1936	Bong Crosby
NT44	T:The Big Broadcast of 1936	Amos'n Andy
NT44	T:The Big Broadcast of 1936	Mary Boland
NT44	T:The Big Broadcast of 1936	Bill Robinson
NT44	T:The Big Broadcast of 1936	Akim Tamiroff
NT45	T:Strike Me Pink	Parkyakarkus
NT50	T:Mad About Music	Arthur Treacher
NT50	T:Mad About Music	Marcia Mae Jones
NT55	T:The Adventures of Tom Sawyer	May Robson
NT55	T:The Adventures of Tom Sawyer	Walter Brennan
NT60	T:Boys' Town	Mickey Rooney
NT60	T:Boys' Town	Bobs Watson
NT94	T:Big City	Betty Garrett
NT105	T:Room for one More	Lurene Tuttle
NT105	T:Room for one More	Randy Stuart
NT120	T:Bundle of Joy	Melville Cooper
NT120	T:Bundle of Joy	Nita Talbot
NT127	T:Blue Hawaii	Nancy Walters
NT127	TZ:Blue Hawaii	Angela Lansbury
NuJ1	T:Night People	Walter Abel
NuJ1	T:Night People	Peter vanEyck
NuJ2	T:Black Widow	Peggy Ann Gardner
NuJ2	T:Black Widow	Reginald Gardiner
NuJ2	T:Black Widow	Otto Kruger
NuJ3	T:How to Be Very Very Popular	Betty Grable
NuJ3	T:How to Be Very Very Popular	Bob Cummings
NuJ3	T:How to Be Very Very Popular	Orson Bean
NuJ4	T:The Man in The Gray Flannel Suit	Arthur OConnell
NuJ4	T:The Man in The Gray Flannel Suit	Mickey Maga
NuJ7	T:The Man Who Understood Women	Myron McCormick
NuJ7	T:The Man Who Understood Women	Marcel Dalio
OlA14	T:Irma Vep	Maggie Cheung
OlA14	T:Irma Vep	Nathalie Richard
OlS3	T:The Hand	Michael Caine
OlS12	T:Wall Street	Michael Douglas
OlS12	T:Wall Street	Martin Sheen
OlS12	T:Wall Street	Annie McEnroe
OlS12	T:Wall Street	Monique VanVooren
OlS15	T:Born on the Fourth of July	Paul Abbott
OlS18	T:JFK	Michael Rooker
OlS18	T:JFK	Walter Matthau
OlS22	T:Natural Born Killers	Quentin Tarantino
OlS25	T:U-Turn	Powers Boothe
OP10	T:A Royal Scandal	Anne Baxter
OP10	T:A Royal Scandal	Mischa Auer
OP12	T:Fallen Angel	Anne Revere
OP13	T:Forever Amber	Ricard Haydn
OP13	T:Forever Amber	Anne Revere
OP15	T:The Fan	Madeleine Carroll
OP15	T:The Fan	Marita Hunt
