STAGENM	BIRTHNM	FIRSTNM	DOB	ORIGIN	GENDER	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
Angela Carnon	#	#	#	\Un	F	2005-07-08 01:42:23.525	2005-07-08 03:00:12.664
Martine Carol	Mourer	Maryse	1922	\Fr	F	2005-07-08 15:25:30.071	2005-07-08 15:50:17.736
Leslie Caron	Caron	Leslie	1931	\Fr	F	2005-07-08 08:55:30.788	2005-07-08 09:57:11.738
Horace Carpenter	#	#	#	\Un	M	2005-07-08 06:57:14.326	2005-07-08 07:28:49.9
Linda Carpenter	#	#	#	\Un	F	2005-07-07 15:48:34.165	2005-07-07 16:50:59.026
Carpin	#	#	#	\Un	#	2005-07-07 16:33:27.844	2005-07-07 17:37:41.151
Carol Carr	#	#	#	\Un	F	2005-07-08 09:25:53.87	2005-07-08 10:50:56.491
Paul Carr	#	#	#	\Un	M	2005-07-07 18:59:48.616	2005-07-07 19:50:35.86
Bruce Carradine	#	#	#	\Un	M	2005-07-08 06:24:21.917	2005-07-08 06:31:36.796
Barbara Carrera	Carrera	Barbara	1945	\Am	F	2005-07-08 11:35:42.116	2005-07-08 11:54:37.449
Jim Carrey	Carrey	Jim	#	#	M	2005-07-08 14:08:36.236	2005-07-08 14:41:18.976
Matthew Carriere	#	#	#	\Un	M	2005-07-08 13:58:18.454	2005-07-08 15:02:03.97
Pat Carrol	#	#	#	\Un	#	2005-07-08 09:50:25.204	2005-07-08 11:12:23.891
Regina Carrol	#	#	#	\Un	F	2005-07-08 13:30:16.194	2005-07-08 13:55:01.631
Madeleine Carroll	O'Carrol	\FN{Marie Madelaine Bernadette	1906	\Br	F	2005-07-08 12:49:33.635	2005-07-08 13:04:29.952
Kit Carson	#	#	#	\Am	M	2005-07-07 16:05:59.952	2005-07-07 16:43:00.128
Helena Bonham Carter	Carter	Helena (Helly) Bonham	1966	\Br	F	2005-07-07 22:32:32.004	2005-07-07 22:49:45.547
Jim Carter	#	#	#	\Un	M	2005-07-08 06:02:47.997	2005-07-08 07:25:42.655
Lydia Carter	#	#	#	\Un	F	2005-07-08 07:59:56.993	2005-07-08 08:01:15.416
Lynda Carter	#	#	#	\Un	F	2005-07-08 00:53:42.812	2005-07-08 01:43:51.019
T.K. Carter	#	#	#	\Un	M	2005-07-08 14:36:16.594	2005-07-08 15:53:55.319
JeanPierre Castaldi	#	#	#	\Un	M	2005-07-08 13:25:47.821	2005-07-08 14:25:32.49
Kim Cattrall	#	#	#	\Un	F	2005-07-07 20:41:56.295	2005-07-07 21:30:15.409
Olimpia Cavalli	#	#	#	\Un	F	2005-07-07 18:58:34.264	2005-07-07 20:01:35.817
Paul Cavanagh	Cavanagh	Paul	1895	\Br	M	2005-07-08 01:03:43.661	2005-07-08 01:37:46.13
Christopher Cazenove	#	#	#	\Un	M	2005-07-07 22:57:31.143	2005-07-07 23:33:22.315
Adolfo Celi	Celi	Adolfo	1922	\It	M	2005-07-07 18:58:05.313	2005-07-07 19:49:57.372
Gino Cervi	Cervi	Gino	1901	\It	M	2005-07-08 10:06:14.813	2005-07-08 10:51:28.205
Renzo Cesana	#	#	#	\Un	M	2005-07-08 04:24:29.487	2005-07-08 05:32:25.896
June Chadwick	#	#	#	\Un	F	2005-07-07 16:47:18.294	2005-07-07 17:49:27.515
William Challee	#	#	#	\Un	M	2005-07-08 03:52:56.901	2005-07-08 04:23:43.419
Wilt Chamberlain	#	#	#	\Un	M	2005-07-08 01:41:01.052	2005-07-08 03:08:04.533
Marilyn Chambers	#	#	#	\Un	F	2005-07-07 20:06:36.089	2005-07-07 21:09:40.237
Chick Chandler	Chandler	Chick	1905	\Am	M	2005-07-07 23:38:48.707	2005-07-08 00:04:28.862
George Chandler	Chandler	George	1902	\Am	M	2005-07-08 08:47:54.323	2005-07-08 10:00:55.16
John Davis Chandler	Chandler	John Davis	1937	\Am	M	2005-07-08 02:09:29.218	2005-07-08 03:11:51.594
Simon Chandler	#	#	#	\Un	M	2005-07-07 20:16:25.272	2005-07-07 20:28:44.769
Carol Channing	Channing	Carol	1921	\Am	F	2005-07-07 16:01:15.406	2005-07-07 17:30:49.765
Margo Channing	#	#	#	\Un	F	2005-07-08 07:35:53.237	2005-07-08 09:00:16.266
Stockard Channing	Channing	Susan	1944	\Am	F	2005-07-08 12:36:55.733	2005-07-08 13:56:09.348
Charlie Chaplin	Chaplin	Sir Charlie	1889	\Br	M	2005-07-08 04:48:57.06	2005-07-08 05:02:27.86
Esme Chaplin	#	#	#	\Un	F	2005-07-08 01:36:54.1	2005-07-08 01:57:25.292
Geraldine Chaplin	Chaplin	Geraldine	1944	\Am	F	2005-07-08 04:55:14.782	2005-07-08 05:07:16.566
Josephine Chaplin	#	#	#	\Un	F	2005-07-07 19:42:02.517	2005-07-07 21:02:40.451
Oona Chaplin	#	#	#	\Un	F	2005-07-07 23:51:45.405	2005-07-07 23:52:19.423
Sydney Chaplin	Chaplin	Sydney	1926	\Un	M	2005-07-08 14:36:47.241	2005-07-08 14:55:56.123
Geraldine Chapman	#	#	#	\Un	F	2005-07-08 04:32:52.909	2005-07-08 05:02:02.378
Bobby H. Charles	#	#	#	\Un	M	2005-07-08 03:53:31.614	2005-07-08 04:06:33.754
Henri Charrieri	#	#	#	\Un	M	2005-07-08 06:07:37.358	2005-07-08 06:15:51.557
Spencer Charters	Charters	Spencer	1878	\Am	M	2005-07-08 02:12:53.821	2005-07-08 03:41:26.568
Charlie Chase	Parrott	Charles	1893	\Am	M	2005-07-07 20:03:26.056	2005-07-07 20:57:54.722
Stephen Chase	#	#	#	\Un	M	2005-07-08 04:55:40.867	2005-07-08 05:06:02.847
Martine Chassaing	#	#	#	\Un	F	2005-07-07 20:48:40.876	2005-07-07 21:15:48.955
Marvin Chatinover	#	#	#	\Un	M	2005-07-08 04:27:58.873	2005-07-08 04:46:45.682
Soumitra Chatterjee	Chatterjee	Soumitra	#	\In dia (Bengali)	M	2005-07-08 15:00:03.619	2005-07-08 16:21:52.101
Chubby Checker	Evans	Ernest	1941	#	M	2005-07-07 21:20:01.842	2005-07-07 21:43:26.234
Joan Chen	#	#	#	\Un	F	2005-07-08 09:06:44.406	2005-07-08 10:29:43.163
Cher	Sarkisian	Cherilyn	1946	\Am	F	2005-07-07 21:49:23.488	2005-07-07 23:04:21.381
Patrice Chereau	#	#	#	\Un	F	2005-07-07 22:14:55.192	2005-07-07 23:10:33.703
Arthur Chesney	#	#	#	\Un	M	2005-07-07 18:24:00.276	2005-07-07 19:32:17.47
Helen Chester	#	#	#	\Un	F	2005-07-08 13:02:23.252	2005-07-08 13:45:31.025
Sonny Chiba	#	#	#	\Un	M	2005-07-07 21:17:40.464	2005-07-07 22:02:38.042
Rae Dawn Chong	#	#	1961	\Un	F	2005-07-08 00:30:08.942	2005-07-08 01:08:17.158
Shelby Chong	#	#	#	\Un	#	2005-07-08 10:37:52.011	2005-07-08 12:07:12.872
Thomas Chong	#	#	#	\Un	M	2005-07-07 22:44:02.809	2005-07-07 23:48:59.856
Navin Chowdhury	#	#	#	\Un	M	2005-07-07 17:05:16.032	2005-07-07 18:13:01.525
Linda Cristian	#	#	#	\Un	F	2005-07-08 14:10:58.229	2005-07-08 15:04:51.888
Suzanne Christian	#	#	#	\Un	F	2005-07-08 10:06:09.971	2005-07-08 11:22:18.147
Audrey Christie	Christie	Audrey	1912	\Am	F	2005-07-08 10:14:24.034	2005-07-08 10:48:58.17
Julie Christie	Christie	Julie	1940	\Br	F	2005-07-08 13:57:00.642	2005-07-08 15:00:08.584
Kay Christopher	#	#	#	\Un	M	2005-07-08 06:05:26.821	2005-07-08 07:13:26.681
William Christopher	#	#	#	\Un	M	2005-07-07 19:04:33.251	2005-07-07 19:16:46.117
Sarah Churchill	Churchill	Sarah, Lady Audley	#	\Br	F	2005-07-08 08:36:22.32	2005-07-08 09:08:37.831
Diane Cilento	Cilento	Diane	1933	\Au	F	2005-07-08 12:21:33.846	2005-07-08 12:27:11.25
Michael Cimino	Cimino	Michael	1940	\Un	M	2005-07-07 23:38:53.323	2005-07-08 00:58:32.462
Augusta Ciolli	#	#	#	\Un	F	2005-07-08 11:19:07.918	2005-07-08 11:51:24.812
Audrey Claire	#	#	#	\Un	F	2005-07-08 00:25:47.798	2005-07-08 01:15:07.341
Ina Claire	Fagan	Ina	1892	\Am	F	2005-07-08 05:57:35.543	2005-07-08 07:17:13.23
Jimmy Clanton	#	#	#	\Un	M	2005-07-07 17:18:40.626	2005-07-07 18:28:39.584
Gordon Clapp	#	#	#	\Un	M	2005-07-08 02:35:38.697	2005-07-08 02:56:47.949
Eric Clapton	#	#	#	\Un	M	2005-07-08 02:31:24.862	2005-07-08 03:57:08.342
D. Greydon Clark	#	#	#	\Un	M	2005-07-08 12:11:32.646	2005-07-08 13:28:29.739
Cliff Clark	Clark	Cliff	1893	\Am	M	2005-07-08 04:45:12.116	2005-07-08 05:20:23.795
Dane Clark	Zanville	Bernard	1913	\Am	M	2005-07-08 08:04:45.775	2005-07-08 09:05:11.412
Ernest Clark	Clark	Ernest	1912	\Br	M	2005-07-08 04:05:32.403	2005-07-08 04:56:12.615
Ken Clark	Clark	Ken	#	\Am	M	2005-07-07 21:33:22.412	2005-07-07 21:36:28.628
Marguerite Clark	Clark	Marguerite	1883	\Am	F	2005-07-08 09:44:45.783	2005-07-08 10:11:23.66
Petula Clark	Clark	Petula	1932	\Am	F	2005-07-08 08:54:14.664	2005-07-08 10:06:47.193
Caitlin Clarke	#	#	#	\Un	M	2005-07-07 15:46:44.868	2005-07-07 16:18:20.258
Sharon D. Clarke	#	#	#	\Un	F	2005-07-08 05:21:57.344	2005-07-08 05:48:16.621
Warren Clarke	#	#	#	\Un	M	2005-07-08 08:24:32.258	2005-07-08 08:58:09.098
Ethel Clayton	Clayton	Ethel	1884	\Am	F	2005-07-08 12:26:11.536	2005-07-08 13:10:18.575
John Cleese	Cleese	John	1939	\Br	M	2005-07-07 23:00:10.754	2005-07-08 00:18:29.38
David Clendinning	#	#	#	\Un	M	2005-07-07 22:46:11.95	2005-07-07 23:50:19.351
David Clennon	#	#	#	\Un	M	2005-07-08 00:51:17.439	2005-07-08 01:27:42.378
Corinne Clery	#	#	#	\Un	F	2005-07-08 13:36:23.858	2005-07-08 14:40:07.973
Jimmy Cliff	#	#	#	\Un	M	2005-07-08 04:36:14.336	2005-07-08 05:16:46.026
E.E. Clive	Clive	E.E.	1879	\Br	M	2005-07-08 13:56:04.69	2005-07-08 14:47:31.629
Al Cliver	#	#	#	\Un	M	2005-07-07 22:28:32.314	2005-07-07 23:44:07.044
George Clooney	Clooney	George	#	\Un	G	2005-07-08 06:54:06.637	2005-07-08 07:08:37.671
Glenn Close	Close	Glenn	1947	\Am	F	2005-07-08 01:53:02.845	2005-07-08 02:11:48.402
Raymond Cloutier	#	#	#	\Un	M	2005-07-08 07:49:53.111	2005-07-08 08:24:23.662
Vera Clouzot	Clouzot	Vera	1921	Portugese	F	2005-07-08 03:00:05.939	2005-07-08 04:29:59.994
Jennifer Cluff	#	#	#	\Un	F	2005-07-08 11:35:18.354	2005-07-08 11:49:23.0
Alec Clunes	Clunes	Alec	1912	\Br	M	2005-07-07 19:08:55.239	2005-07-07 20:06:21.966
Andy Clyde	Clyde	Andy	1892	\Br; Scots	M	2005-07-08 05:06:24.639	2005-07-08 06:16:28.054
June Clyde	#	#	#	\Un	F	2005-07-07 18:50:43.958	2005-07-07 19:28:37.866
Lee J. Cobb	Jacoby	Leo	1911	\Am	M	2005-07-08 09:23:23.66	2005-07-08 10:52:03.377
Lew Cody	Louis	Cote	1884	\Am	#	2005-07-08 10:50:55.141	2005-07-08 11:58:36.855
George Coe	#	#	#	\Un	M	2005-07-08 11:38:57.753	2005-07-08 13:01:44.892
Peter Coe	Coe	Peter	1929	\Br	M	2005-07-08 05:06:28.631	2005-07-08 05:39:11.798
Tristam Coffin	Coffin	Tristam	#	\Am	M	2005-07-08 06:04:35.004	2005-07-08 06:57:19.23
Mindy Cohen	#	#	#	\Un	F	2005-07-08 06:45:15.336	2005-07-08 08:14:34.661
Nicholas Colasanto	#	#	#	\Un	M	2005-07-08 09:59:41.933	2005-07-08 11:07:42.364
Claudette Colbert	Chauchoin	Lily Claudette	1905	\Fr	F	2005-07-08 01:13:36.872	2005-07-08 02:25:43.67
Mabel Colcord	#	#	#	\Un	F	2005-07-07 18:47:04.981	2005-07-07 20:16:11.566
Nat King Cole	Coles	Nathaniel	1919	\Am	M	2005-07-07 21:00:14.839	2005-07-07 21:34:06.709
Rosalie Cole	#	#	#	\Un	F	2005-07-08 03:17:08.078	2005-07-08 03:26:56.126
Robert Coleby	#	#	#	\Un	M	2005-07-08 04:45:16.537	2005-07-08 05:36:39.475
Charles Coleman	Coleman	Charles	1885	\Au	M	2005-07-08 11:56:17.43	2005-07-08 12:53:11.775
Dabney Coleman	Coleman	Dabney	#	\Am	M	2005-07-08 03:50:56.599	2005-07-08 04:33:12.245
Gary Coleman	Coleman	Gary	1968	\Am	M	2005-07-07 21:11:57.686	2005-07-07 21:37:22.42
Nancy Coleman	Coleman	Nancy	1917	\Un	F	2005-07-08 05:19:00.05	2005-07-08 06:43:08.318
David Colin~jr.	#	#	#	\Un	M	2005-07-08 08:28:34.249	2005-07-08 09:30:20.347
Bonar Colleano	Sullivan	Bonar	1924	\Am	M	2005-07-08 05:36:00.932	2005-07-08 06:31:29.757
Kenneth Colley	#	#	#	\Un	M	2005-07-07 19:08:43.212	2005-07-07 19:21:09.214
Dan Collier	#	#	#	\Un	M	2005-07-08 12:16:54.325	2005-07-08 12:26:20.822
Lois Collier	Jones	Madelyn	1919	\Am	F	2005-07-08 04:01:19.105	2005-07-08 04:02:33.016
Patience Collier	Collier	Patience	#	\Un	F	2005-07-07 21:16:57.462	2005-07-07 21:53:40.945
Patricia Collinge	Collinge	Patricia	1892	\Ir	F	2005-07-07 19:36:20.639	2005-07-07 20:37:15.175
Joan Collins	Collins	Joan	1933	\Br	F	2005-07-08 13:15:11.838	2005-07-08 14:01:27.653
Phil Collins	#	#	#	\Un	M	2005-07-07 16:31:22.649	2005-07-07 17:30:10.646
Ray Collins	Collins	Ray	1890	\Am	M	2005-07-07 21:14:18.623	2005-07-07 21:49:19.842
Roberta Collins	#	#	#	\Un	F	2005-07-07 19:54:23.433	2005-07-07 21:13:03.175
Richard Colman	Colman	Richard	1891	\Br	M	2005-07-08 01:10:45.316	2005-07-08 02:01:31.521
Scott Colomby	#	#	#	\Un	M	2005-07-08 13:54:56.057	2005-07-08 13:57:50.434
Miriam Colon	#	#	#	\Un	F	2005-07-08 05:26:47.113	2005-07-08 05:28:11.724
Willie Colon	#	#	#	\Un	M	2005-07-08 00:11:47.598	2005-07-08 00:25:14.561
Tita Colorado	#	#	#	\Un	F	2005-07-08 14:38:30.487	2005-07-08 16:05:17.197
Norman Combes	#	#	#	\Un	M	2005-07-07 22:01:22.19	2005-07-07 23:07:10.689
Frederick Combs	#	#	#	\Un	M	2005-07-08 08:25:46.405	2005-07-08 09:45:28.601
Dorothy Comingore	Winters	Kay or Linda	1913	\Am	F	2005-07-08 14:52:05.68	2005-07-08 16:13:46.377
The Commodores	#	#	#	\Un	G	2005-07-08 12:03:36.702	2005-07-08 12:09:56.532
Fay Compton	Compton	Fay	#	\Br	F	2005-07-07 22:26:28.164	2005-07-07 23:18:12.206
Oliver Conant	#	#	#	\Un	M	2005-07-08 07:34:16.591	2005-07-08 08:33:56.914
Chester Conklin	Cowles	Jules	1888	\Am	M	2005-07-07 17:33:56.842	2005-07-07 18:05:59.913
Didi Conn	#	#	#	\Un	F	2005-07-08 13:58:12.571	2005-07-08 15:01:35.958
Betty Connell	#	#	#	\Un	F	2005-07-08 08:19:08.001	2005-07-08 08:44:39.074
Jenifer Connelly	#	#	#	\Un	F	2005-07-08 13:16:04.816	2005-07-08 14:18:37.508
Sean Connery	Connery	Thomas	1929	\Br; Scots	M	2005-07-08 08:50:42.029	2005-07-08 09:52:55.276
Walter Connolly	Connolly	Walter	1887	\Am	M	2005-07-07 21:17:19.1	2005-07-07 21:21:09.506
Kenneth Connor	Connolly	Kenneth	1918	\Br	M	2005-07-07 20:07:23.092	2005-07-07 20:48:23.903
Chuck Connors	Connors	Kevin	1937	\Am	M	2005-07-08 01:28:15.584	2005-07-08 02:18:10.292
Michael Connors	Ohanian	Krekor	1925	\Am	M	2005-07-07 19:31:14.818	2005-07-07 20:54:35.956
Mike Connors	Ohanian	Krekor	1925	\Am	M	2005-07-08 02:12:48.733	2005-07-08 02:20:43.791
Touch Connors	Ohanian	Krekor	1925	\Am	M	2005-07-07 22:56:24.908	2005-07-08 00:13:59.073
Robert Conrad	Falk	Conrad Robert	1935	\Am	M	2005-07-08 08:27:04.907	2005-07-08 09:11:20.482
William Conrad	Conrad	William	1920	\Am	M	2005-07-08 11:47:56.753	2005-07-08 12:33:20.761
Hans Conried	Conried	Hans	1917	\Am	M	2005-07-07 18:01:48.969	2005-07-07 18:47:17.449
John Considine	#	#	#	\Un	M	2005-07-07 17:59:10.205	2005-07-07 18:59:44.58
Tim Considine	#	#	#	\Un	M	2005-07-08 01:55:35.662	2005-07-08 03:03:51.404
Michel Constantin	#	#	#	\Un	M	2005-07-08 08:58:39.399	2005-07-08 09:32:50.327
Mario Conti	#	#	#	\Un	M	2005-07-07 21:02:44.094	2005-07-07 21:18:06.128
Tom Conti	Conti	Tom	1945	\Br	M	2005-07-07 17:49:41.257	2005-07-07 18:45:12.345
Morgan Conway	Conway	Morgan	1903	\Am	M	2005-07-07 18:30:33.5	2005-07-07 19:05:38.725
Carolyn Conwell	#	#	#	\Un	F	2005-07-08 01:01:25.175	2005-07-08 02:18:31.099
Elisha Cook~jr.	Cook	Elisha~Jr.	1902	\Am	M	2005-07-08 04:20:17.131	2005-07-08 05:15:47.55
Fielder Cook	Cook	Fielder	1923	\Am	M	2005-07-07 19:39:51.72	2005-07-07 20:30:29.61
Perry Cook	#	#	#	\Un	M	2005-07-08 13:54:35.25	2005-07-08 14:16:30.089
Ron Cook	Cook	Ron	#	\Un	M	2005-07-07 18:51:42.254	2005-07-07 19:08:15.867
Alice Cooper	#	#	#	\Un	F	2005-07-07 17:16:56.342	2005-07-07 18:33:23.111
Miriam Cooper	Cooper	Miriam	1900	\Am	F	2005-07-08 01:13:12.32	2005-07-08 02:41:42.575
Terrec Cooper	#	#	#	\Un	M	2005-07-08 11:40:17.96	2005-07-08 12:41:51.937
Francis Ford Coppola	Coppola	Francis	1939	\Am	M	2005-07-07 20:50:08.502	2005-07-07 21:44:42.78
Sofia Coppola	Coppola	Sofia	#	\Am	F	2005-07-08 12:40:14.899	2005-07-08 12:50:12.6
Harry H. Corbett	Corbett	Harry	1925	\Br	M	2005-07-07 20:08:14.433	2005-07-07 20:24:25.629
Barry Corbin	#	#	#	\Un	M	2005-07-08 06:37:33.669	2005-07-08 08:06:45.898
Ellen Corby	Hansen	Ellen	1913	\Am	F	2005-07-08 08:59:49.764	2005-07-08 10:10:20.984
Lola Cordova	Cordova	Lola	#	\Sp	F	2005-07-08 11:12:44.439	2005-07-08 12:34:56.035
Irwin Corey	#	#	#	\Un	M	2005-07-08 14:27:33.427	2005-07-08 14:51:48.371
Wendell Corey	Corey	Wendell	1914	\Am	M	2005-07-08 02:38:50.235	2005-07-08 03:10:59.433
Roger Corman	Corman	Roger	1926	\Un	M	2005-07-08 06:46:20.423	2005-07-08 07:59:49.271
Judy Cornwell	#	#	#	\Un	F	2005-07-08 13:41:04.865	2005-07-08 13:57:19.942
Adrienne Corri	Riccobonii	Adrienne	1930	\Br	F	2005-07-07 17:21:57.307	2005-07-07 18:10:28.512
Douglas `Wrong Way' Corrigan	Corrigan	Douglas	1907	\Am	M	2005-07-07 22:48:08.486	2005-07-08 00:10:40.18
Salvatore Corsitto	#	#	#	\Un	M	2005-07-08 12:06:41.703	2005-07-08 12:39:38.026
Joseph Cortese	#	#	#	\Un	M	2005-07-08 09:57:42.841	2005-07-08 11:17:49.705
Nicholas Cortland	#	#	#	\Un	M	2005-07-08 05:48:47.436	2005-07-08 06:52:53.743
Henry Cory	#	#	#	\Un	M	2005-07-07 16:51:38.468	2005-07-07 17:28:43.202
Wendell Cory	#	#	#	\Un	M	2005-07-07 19:27:09.618	2005-07-07 19:31:46.141
Cybil Cosack	#	#	#	\Un	F	2005-07-07 20:54:49.912	2005-07-07 22:24:36.875
Ernest Cosart	#	#	#	\Un	M	2005-07-07 20:37:58.581	2005-07-07 21:39:13.16
Rich Cosentino	#	#	#	\Un	M	2005-07-07 17:23:05.726	2005-07-07 17:39:54.198
Caroline `Tula' Cossey	Cossey	#	1955	\Am	M,F	2005-07-08 03:05:27.418	2005-07-08 03:09:00.86
Desiree Costeau	#	Desir\'ee	#	#	F	2005-07-08 02:15:01.074	2005-07-08 02:33:20.101
Dolores Costello	Costello	Dolores	1905	#	F	2005-07-08 14:00:31.684	2005-07-08 14:20:42.571
Helene Costello	Costello	Helene	1904	\Am	F	2005-07-08 14:25:22.688	2005-07-08 15:33:58.404
Lou Costello	Costello	Lou	1906	\Am	M	2005-07-08 01:14:19.172	2005-07-08 02:05:02.531
Kevin Costner	Costner	Kevin	1955	\Un	M	2005-07-08 02:11:24.811	2005-07-08 02:46:45.861
Joseph Cotten	Cotten	Joseph	1905	\Am	M	2005-07-08 14:40:15.82	2005-07-08 15:22:47.535
Carolyn Courage	#	#	#	\Un	F	2005-07-08 11:36:23.627	2005-07-08 11:44:42.365
Hazel Court	Court	Hazel	1926	\Br	F	2005-07-08 15:27:50.658	2005-07-08 16:40:12.883
Tom Courtenay	Courtenay	Tom	1937	\Br	M	2005-07-07 17:29:46.926	2005-07-07 17:38:10.331
Cicely Courtneige	Courtneige	Dame Cicely	#	\Ct	F	2005-07-08 02:18:45.296	2005-07-08 02:42:20.901
Maggie CousineauArndt	#	#	#	\Un	F	2005-07-07 21:18:38.111	2005-07-07 22:06:51.147
Herbert `Cowboy' Coward	#	#	#	\Un	M	2005-07-08 05:19:16.247	2005-07-08 06:15:36.01
Ruth Cox	#	#	#	\Un	F	2005-07-08 06:44:56.195	2005-07-08 07:34:25.965
Peter Coyote	#	#	#	\Un	M	2005-07-08 13:54:07.908	2005-07-08 15:05:08.504
Donald Crabtree	#	#	#	\Un	M	2005-07-07 17:50:10.4	2005-07-07 18:43:58.295
Jack Crain	#	#	#	\Un	M	2005-07-07 18:12:08.283	2005-07-07 18:35:13.158
Jeanne Crain	Crain	Jeanne	1925	\Am	F	2005-07-08 07:31:34.04	2005-07-08 08:04:16.613
Grant Cramer	#	#	#	\Un	M	2005-07-08 07:32:16.624	2005-07-08 08:22:03.187
Nick Cravat	Cravat	Nick	1911	\Am	M	2005-07-07 21:45:05.236	2005-07-07 23:09:13.893
Plett Creighton	#	#	#	\Un	M	2005-07-08 09:17:50.197	2005-07-08 09:30:04.892
Jack Creley	#	#	#	\Un	M	2005-07-08 08:51:09.948	2005-07-08 10:18:12.323
Robert Crenna	#	#	#	\Un	M	2005-07-07 18:35:24.204	2005-07-07 19:40:23.065
Michael Crichton	Crichton	Michael	#	\Br	#	2005-07-08 02:33:43.266	2005-07-08 03:43:36.98
Lou Crisoula	#	#	#	\Un	M	2005-07-08 03:53:40.103	2005-07-08 03:57:53.565
Donald Crisp	Crisp	Donald	1880	\Br	M	2005-07-07 23:41:02.991	2005-07-08 00:23:21.196
Dick Crockett	#	#	#	\Un	M	2005-07-07 17:22:35.024	2005-07-07 18:22:49.724
Cathy Lee Crosby	#	#	#	\Un	F	2005-07-08 04:53:54.293	2005-07-08 05:02:50.449
Harry Crosby	Crosby	Harry	#	\Un	M	2005-07-07 18:10:26.674	2005-07-07 19:04:31.685
Kim Crosby	#	#	#	\Un	F	2005-07-08 00:28:18.422	2005-07-08 01:39:16.362
Lindsay Crosby	#	#	#	\Un	M	2005-07-07 16:18:11.093	2005-07-07 17:30:05.41
Mary Crosby	#	#	#	\Un	F	2005-07-07 22:42:58.051	2005-07-07 22:58:33.76
Henrietta Crosman	Crosman	Henrietta	1861	\Am	F	2005-07-08 10:44:06.123	2005-07-08 11:14:10.296
Rupert Crosse	Crosse	Rupert	1927	\Am	M	2005-07-08 04:10:23.759	2005-07-08 04:42:42.186
James Cruze	Bosen	Jens Cruz	1884	\Da-\Am	M	2005-07-07 21:35:18.004	2005-07-07 22:29:20.91
John Cullum	#	#	#	\Un	M	2005-07-08 11:36:34.093	2005-07-08 12:25:25.49
Dorothy Cumming	Cors.	Ruth Cumming	#	\Am	F	2005-07-08 14:38:48.834	2005-07-08 16:07:36.658
Constance Cummings	Halverstadt	Constance	1910	\Am	M	2005-07-08 01:27:06.93	2005-07-08 02:40:32.45
Quinn Cummings	#	#	#	\Un	M	2005-07-07 21:49:37.247	2005-07-07 22:38:04.978
Susan Cummings	#	#	#	\Un	F	2005-07-08 10:41:10.179	2005-07-08 11:30:02.581
Peggy Cummins	#	#	#	\Un	F	2005-07-07 15:39:37.229	2005-07-07 16:07:22.11
John Cunningham	#	#	#	\Un	M	2005-07-08 03:48:44.752	2005-07-08 04:52:38.082
Alain Cuny	Cuny	Alain	1908	\Fr	M	2005-07-07 18:37:45.128	2005-07-07 19:01:38.812
Lee Curreri	#	#	#	\Un	#	2005-07-08 02:17:08.858	2005-07-08 03:19:28.264
Finlay Currie	Jefferson	Finlay	1878	\Br(Sc)	M	2005-07-08 10:43:48.2	2005-07-08 12:12:06.6
Michael Currie	#	#	#	\Un	M	2005-07-07 23:12:02.607	2005-07-08 00:24:51.478
Sondra Currie	#	#	#	\Un	F	2005-07-08 03:05:13.155	2005-07-08 04:09:06.354
Steve Curry	#	#	#	\Un	M	2005-07-08 00:16:59.189	2005-07-08 00:49:55.644
Tim Curry	Curry	Tim	1946	\Br	M	2005-07-07 19:17:13.038	2005-07-07 20:33:45.805
Jane Curtin	#	#	#	\Un	F	2005-07-08 02:57:22.635	2005-07-08 04:17:51.656
Valerie Curtin	#	#	#	\Un	F	2005-07-08 07:34:47.516	2005-07-08 08:36:01.478
Jamie Lee Curtis	Curtis	Jamie Lee	1958	\Am	F	2005-07-08 09:23:46.839	2005-07-08 10:08:45.104
Allan Cuthbertson	Cuthbertson	Allan	1920	\Au	M	2005-07-08 10:20:05.071	2005-07-08 10:42:52.998
Maryam DAbo	D'Abo	Maryam	#	\Un	F	2005-07-08 07:24:00.232	2005-07-08 08:22:28.774
Olivia DAbo	D'Abo	Olivia	1970	#	F	2005-07-08 00:27:01.01	2005-07-08 00:30:39.648
Willem Dafoe	Dafoe	Willem	#	\Un	M	2005-07-08 08:14:51.876	2005-07-08 09:27:41.946
Lil Dagover	Dagover	gn	#	\Ct	F	2005-07-08 12:08:02.951	2005-07-08 13:12:12.403
Eva Dahlbeck	Dahlbeck	Eva	1920	\Sw	F	2005-07-08 03:30:51.565	2005-07-08 03:44:55.94
Elizabeth Daily	#	#	#	\Un	F	2005-07-08 04:37:42.077	2005-07-08 05:03:59.892
Irene Daily	#	#	#	\Un	F	2005-07-07 19:32:06.704	2005-07-07 20:01:22.066
Charles Dale	Marks	Charles	1881	\Am	M	2005-07-08 00:41:27.374	2005-07-08 01:37:13.401
Jennifer Dale	#	#	#	\Un	F	2005-07-08 13:24:48.906	2005-07-08 14:22:28.654
Jim Dale	Smith	James	1935	\Br	M	2005-07-07 16:47:29.624	2005-07-07 17:39:42.698
Beatrice Dalle	Dalle	B\'eatrice	#	\Fr	#	2005-07-08 11:25:33.078	2005-07-08 11:41:19.029
Timothy Dalton	Dalton	Timothy	1944	\Br	M	2005-07-08 09:01:44.89	2005-07-08 09:58:23.145
James Daly	Daly	James	1918	\Am	M	2005-07-08 08:46:40.811	2005-07-08 09:58:01.757
