filmid	title	year	director
RM9	T:The Gay Desperado	1936	D:Mamoulian
RM11	T:Golden Boy	1939	D:Mamoulian
RM13	T:Blood and Sand	1940	D:Mamoulian
RM14	T:Rings on her Fingers	1942	D:Mamoulian
RM15	T:Summer Holiday	1948	D:Mamoulian
RM16	T:Silk Stockings	1957	D:Mamoulian
RSi18	T:Cobra Woman	1944	D:R.Siodmak
GC39	T:A Star is Born	1954	D:Cukor
GC40	T:Bhowani Junction	1956	D:Cukor
GC41	T:Les Girls	1957	D:Cukor
GC44	T:Song Without End	1960	D:Cukor
GC45	T:Let's Make Love	1960	D:Cukor
GC48	T:My Fair Lady	1963	D:Cukor
GC52	T:The Blue Bird	1976	D:Cukor
GC54	T:Rich and Famous	1981	D:Cukor
HHu2	T:The Outlaw	1948	D:H.Hughes
HMF30	T:Second Hand Wife	1933	D:MacFadden
IB16	T:The Undying Monster	1942	D:Brahm
IB17	T:Tonight We Raid Calais	1942	D:Brahm
IB19	T:The Lodger	1944	D:Brahm
IB22	T:The Locket	1946	D:Brahm
IB30	T:The Mad Magician	1954	D:Brahm
IB150	T:Hot Rods to Hell	1967	D:Brahm
JC1	T:Le Sang d'un Po\'ete	1930	D:Cocteau
LSw10	T:Follow Thru	1930	D:Schwab
NGr20	T:Before I Hang	1940	D:Grinde
ELC2	T:Law and Order	1932	D:E.L.Cahn
JNm30	T:This Island Earth	1955	D:J.Newman
MAl2	T:Fanny	1932	D:M.Allegret
NML21	T:The Kid from Brooklyn	1946	D:McLeod
NML22	T:The Secret Life of Walter Mitty	1947	D:McLeod
NML23	T:The Paleface	1947	D:McLeod
NML31	T:Casanova's Big Night	1954	D:McLeod
WCM32	T:Invaders From Mars	1954	D:Menzies
xFl10	T:Luise, K\"onigin von Preussen	1931	D:Frohlich
AL22	T:The Snake Pit	1948	D:Litvak
AL26	T:Anastasia	1956	D:Litvak
AL27	T:The Journey	1959	D:Litvak
AlH24	T:Here Comes Mr.~Jordan	1941	D:A.Hall
AlH38	T:Let's do it Again	1953	D:A.Hall
EBz75	T:Aint Misbehavin'	1955	D:Buzzell
EBz80	T:Mary Had a Little	1961	D:Buzzell
ElN20	T:Just for You	1952	D:Nugent
ELM2	T:The Death Kiss	1932	D:E.Marin
ELM8	T:The Casino Murder Case	1935	D:E.Marin
ELu49	T:Caribbean	1952	D:Ludwig
HBH10	T:Charlie Chan at the Racetrack	1936	D:Humberstone
HBH15	T:Charlie Chan at the Opera	1936	D:Humberstone
HBH20	T:Charlie Chan at the Olympics	1937	D:Humberstone
HBH25	T:Charlie Chan in Honolulu	1937	D:Humberstone
HBH31	T:I Wake up Screaming	1941	D:Humberstone
HBH45	T:Three Little Girls in Blue	1946	D:Humberstone
HBH68	T:Tarzan and the Lost Safari	1957	D:Humberstone
HBH70	T:Tarzan's Fight for Life	1958	D:Humberstone
HBH90	T:Without a Trace	1983	D:Humberstone
HeE10	T:Scrooge	1935	D:H.Edwards
HHa3	T:Man of the Forest	1933	D:Hathaway
Hha5	T:Arabian Nights	1993	D:Wanger
HHa10	Tm:Now and Forever	1934	D:Hathaway
HHa12	T:Lives of a Bengal Lancer	1935	D:Hathaway
HHa13	T:Peter Ibbetson	1935	D:Hathaway
HHa15	T:Go West Young Man	1936	D:Hathaway
HHa16	T:The Trail of the Lonesome Pine	1936	D:Hathaway
HHa20	T:Brigham Young, Frontiersman	1940	D:Hathaway
HHa21	T:Johnny Apollo	1940	D:Hathaway
HHa22	T:Sheppard of the Hills	1941	D:Hathaway
HHa27	T:Nob Hill	1945	D:Hathaway
HHa28	T:The House on 92nd Street	1945	D:Hathaway
HHa31	T:Kiss of Death	1947	D:Hathaway
HHa32	T:Call Northside 777	1948	D:Hathaway
HHa38	T:The Desert Fox	1951	D:Hathaway
HHa39	T:Fourteen Hours	1951	D:Hathaway
HHa43	T:Niagra	1952	D:Hathaway
HHa47	T:Prince Valiant	1954	D:Hathaway
HHa50	T:Legend of the Lost	1957	D:Hathaway
HHa54	T:How the West Was Won	1963	D:Hathaway
HHa56	T:Of Human Bondage	1964	D:Hathaway
HHa60	T:The Last Safari	1967	D:Hathaway
HHa65	T:True Grit	1969	D:Hathaway
HHa72	T:Shootout	1971	D:Hathaway
IrP1	T:The Most Dangerous Game	1932	D:Pichel
IrP3	T:She	1935	D:Pichel
IrP11	T:The Man I Married	1940	D:Pichel
IrP12	T:Hudson's Bay	1940	D:Pichel
IrP15	Tm:The Pied Piper	1942	D:Pichel
IrP18	T:Happy Land	1943	D:Pichel
IrP19	T:and Now Tomorrow	1944	D:Pichel
IrP21	T:Tomorrow is Forever	1946	D:Pichel
IrP27	T:They Won't Believe Me	1947	D:Pichel
KFr1	T:The Mummy	1932	D:Freund
KFr10	T:Mad Love	1935	D:Freund
KuN4	T:The Big Cage	1933	D:K.Neumann
KuN5	T:The Secret of the Blue Room	1933	D:K.Neumann
KuN12	Tm:Island of Lost Men	1939	D:K.Neumann
KuN30	T:Tarzan and the Amazons	1945	D:K.Neumann
KuN33	T:Tarzan and the Leopard Woman	1946	D:K.Neumann
KuN36	T:Tarzan and the Huntress	1947	D:K.Neumann
KuN40	T:Son Of Ali Baba	1952	D:K.Neumann
KuN42	T:Tarzan and the She-Devil	1953	D:K.Neumann
KuN45	T:Carnival Story	1954	D:K.Neumann
KuN46	T:Rummelplatz der Liebe	1954	D:K.Neumann
KuN14	T:The Fly	1958	D:K.Neumann
LeR10	T:Triumph of the Will	1934	D:Riefenstahl
MGe5	T:Madame Butterfly	1932	D:Gering
MGe10	T:Jennie Gerhardt	1933	D:Gering
MGe12	T:Thirty-Day Princess	1934	D:Gering
MGe50	T:Sarumba	1950	D:Gering
OP8	T:Laura	1944	D:Preminger
OP13	T:Forever Amber	1947	D:Preminger
OP14	T:Daisy Kenyon	1947	D:Preminger
OP15	Tm:The Fan	1949	D:Preminger
OP17	T:Whirlpool	1950	D:Preminger
OP18	T:Where the Sidewalk Ends	1950	D:Preminger
OP20	T:Angel Face	1952	D:Preminger
OP23	T:River of No Return	1961	D:Preminger
OP24	T:Carmen Jones	1954	D:Preminger
OP26	T:The Man with the Golden Arm	1956	D:Preminger
OP30	T:Anatomy of a Murder	1959	D:Preminger
OP40	T:Tell Me That You Love Me, Junie Moon	1969	D:Preminger
OP50	T:The Human Factor	1979	D:Preminger
PCz25	T:As You Like It	1936	D:Czinner
PCz30	T:Dreaming Lips	1937	D:Czinner
RoS3	T:Tudor Rose	1936	D:Stevenson
RoS6	T:King Solomon's Mines	1937	D:Stevenson
RoS11	T:Tom Brown's Schooldays	1940	D:Stevenson
RoS13	T:Back Street	1941	D:Stevenson
RoS17	T:To the Ends of the Earth	1948	D:Stevenson
RoS60	T:Old Yeller	1957	D:R.Stevenson
RoS65	T:Darby O'Gill and the Little People	1959	D:Stevenson
RoS68	T:The Shaggy Dog	1959	D:Stevenson
RoS85	T:The Absent-Minded Professor	1961	D:Stevenson
RoS90	T:Mary Poppins	1964	D:Stevenson
RoS94	Tm:Gnome-Mobile	1967	D:Stevenson
RoS95	Tm:Blackbeard's Ghost	1967	D:Stevenson
RoS98	T:The Love Bug	1969	D:Stevenson
RoS100	T:Bedknobs and Broomsticks	1971	D:Stevenson
RoS112	T:The Shaggy DA	1976	D:Stevenson
RoS120	T:Island at the Top of the World	1981	D:Stevenson
SLa2	T:Moulin Rouge	1934	D:Lanfield
SLa3	T:King of Burlesque	1935	D:Lanfield
SLa10	T:Wake Up and Live	1939	D:Lanfield
SLa14	T:The Hound of the Baskervilles	1939	D:Lanfield
SLa18	T:You'll Never Get Rich	1941	D:Lanfield
SLa20	T:My Favorite Blonde	1942	D:Lanfield
SLa22	T:The Meanest Man in the World	1943	D:Lanfield
SLa30	T:Sorrowful Jones	1949	D:Lanfield
StR5	T:One Sunday Afternnon	1933	D:S.Roberts
StR10	T:The Ex-Mrs.~Bradford	1936	D:S.Roberts
VHa10	T:White Zombie	1932	D:Halperin
VrM40	T:Oh Mr.~Porter	1938	D:Mr.Varnel
VrM42	T:Convict 99	1938	D:Mr.Varnel
WmK15	T:The Singing Kid	1936	D:Keighley
WmK18	T:The Prince and The Pauper	1937	D:Keighley
WmK27	T:Torrid Zone	1940	D:Keighley
WmK28	T:Four Mothers	1940	D:Keighly
WmK31	T:The Man Who Came to Dinner	1942	D:Keighley
xTo10	T:L'Aiglon	1932	D:Tourjansky
ZK1	T:Cash	1932	D:Z.Korda
ZK2	T:Sanders of the River	1935	D:Z.Korda
ZK3	T:The Four Feathers	1939	D:Z.Korda
ZK4	T:The Jungle Book	1942	D:Z.Korda
Zk5	T:Sahara	1943	D:Z.Korda
BW1	T:Mauvaise Graine	1933	D:B.Wilder
BW2	T:The Major and the Minor	1942	D:B.Wilder
BW3	T:Five Graves to Cairo	1943	D:B.Wilder
BW4	T:Double Indemnity	1944	D:B.Wilder
BW5	T:The Lost Weekend	1945	D:B.Wilder
BW7	T:A Foreign Affair	1948	D:B.Wilder
BW8	T:Sunset Boulevard	1950	D:B.Wilder
BW9	T:The Big Carnival	1951	D:B.Wilder
BW10	T:Stalag 17	1953	D:B.Wilder
BW11	T:Sabrina	1954	D:B.Wilder
BW12	T:The Seven Year Itch	1955	D:B.Wilder
BW14	T:Love In The Afternoon	1957	D:B.Wilder
BW16	T:Some Like It Hot	1959	D:B.Wilder
BW17	T:The Apartment	1960	D:B.Wilder
BW18	T:One, Two, Three	1961	D:B.Wilder
BW19	T:Irma la Douce	1963	D:B.Wilder
BW30	T:Buddy Buddy	1981	D:B.Wilder
CAL15	T:Le Diable au Corps	1946	D:AutantLara
CAL20	T:Occupe-Toi d'Amelie	1949	D:AutantLara
CAL25	T:L'Auberge Rouge	1951	D:AutantLara
CAL36	T:Le Rouge et Le Noir	1954	D:AutantLara
CAL50	T:The Count of Monte Christo	1961	D:AutantLara
DeD18	T:Destination Tokyo	1943	D:Daves
DeD30	T:Hollywood Canteen	1944	D:Daves
DeD42	T:Dark Passage	1947	D:Daves
DeD50	T:Broken Arrow	1950	D:Daves
DeD60	T:Jubal	1956	D:Daves
DeD62	T:3:10 to Yuma	1956	D:Daves
DeD65	T:The Badlanders	1958	D:Daves
EuF50	T:Charlie Chan's Murder Cruise	1940	D:E.Forde
GSt7	T:Vivacious Lady	1938	D:G.Stevens~sr.
GSt17	T:Shane	1953	D:G.Stevens~sr.
GSt20	T:The Greatest Story Ever Told	1965	D:G.Stevens~sr.
GSt30	T:The Only Game in Town	1970	D:G.Stevens~sr.
ML18	T:The Lady is Willing	1942	D:Leisen
ML21	T:Lady in the Dark	1944	D:Leisen
xCm20	T:Ulysses	1954	D:Camerini
ABW40	T:Busman's Honeymoon	1940	D:A.Woods
ArL17	T:Risky Business	1938	D:Lubin
ArL22	T:Black Friday	1940	D:Lubin
ArL26	T:San Francisco Docks	1941	D:Lubin
ArL28	T:Buck Privates	1941	D:Lubin
ArL29	T:Hold That Ghost	1941	D:Lubin
ArL36	T:The Phantom of the Opera	1943	D:Lubin
ArL39	T:The Spider Woman Strikes Back	1946	D:Lubin
ArL58	T:Thief of Bagdad	1961	D:Lubin
ChE1	T:Call It Murder	1934	D:Erskine
ChE2	T:The Egg and I	1947	D:Erskine
CdG1	T:Tarzan and his Mate	1934	D:C.Gibbons
CR10	T:The Night Train to Munich	1940	D:C.Reed
CR12	T:Kipps	1941	D:C.Reed
CR14	T:The Way Ahead	1944	D:C.Reed
CR15	T:The True Glory	1945	D:C.Reed
CR16	T:Odd Man Out	1946	D:C.Reed
CR17	T:The Fallen Idol	1948	D:C.Reed
CR18	T:The Third Man	1949	D:C.Reed
DBr5	T:Lady by Choice	1934	D:D.Burton
DBr10	T:The Man Who Wouldn't Talk	1940	D:D.Burton
DSk48	T:The Sign of the Pagan	1954	D:Sirk
DSk49	T:Magnificent Obsession	1954	D:Sirk
DSk69	T:Imitation of Life	1959	D:Sirk
EGU20	T:Detour	1946	D:Ulmer
EGU30	T:Ruthless	1954	D:Ulmer
EGU70	T:The Naked Dawn	1960	D:Ulmer
HY10	T:Little Tough Guy	1934	D:H.Young
HY17	T:There's One Born Every Minute	1942	D:H.Young
HY20	T:Jungle Captive	1944	D:H.Young
LeG23	T:The Mummy's Tomb	1942	D:Goodwins
JN2	T:Singapore Woman	1941	D:Negulesco
JN3	T:The Mark of Dimitrios	1944	D:Negulesco
JN10	T:Johnny Belinda	1948	D:Negulesco
JN12	T:The Mudlark	1950	D:Negulesco
JN15	T:Phone Call from a Stranger	1952	D:Negulesco
JN16	T:Lure of The Wilderness	1952	D:Negulesco
JN19	T:Titanic	1953	D:Negulesco
JN20	T:How to Marry a Millionaire	1953	D:Negulesco
JN21	T:Three Coins in the Fountain	1954	D:Negulesco
JN23	T:Daddy Longlegs	1955	D:Negulesco
JN25	T:The Rains of Ranchipur	1955	D:Negulesco
JN31	T:The Pleasure Seekers	1964	D:Negulesco
LoS2	T:She Done Him Wrong	1933	D:L.Sherman
LoS3	T:Morning Glory	1933	D:L.Sherman
LoS10	T:Born to Be Bad	1941	D:L.Sherman
MhR1	T:Boule de Suif	1934	D:Romm
MhR5	T:Lenin in October	1937	D:Romm
MhR10	T:Lenin in 1918	1938	D:Romm
MhR20	T:Nine Days of One Year	1961	D:Romm
MPa1	T:C\'esar	1934	D:Pagnol
MPa5	T:La Fille du Puisatier	1946	D:Pagnol
MPa7	T:Manon des Sources	1952	D:Pagnol
PaM10	T:Orient Express	1934	D:P.Martin
RWB10	T:The October Man	1947	D:R.W.Baker
RWB20	T:Morning Departure	1950	D:R.W.Baker
RWB25	T:I'll Never Forget You	1951	D:R.W.Baker
RWB42	T:The One that got Away	1957	D:R.W.Baker
RWB45	T:A Night to Remember	1958	D:R.W.Baker
RWB58	T:Quatermass and the Pit	1967	D:R.W.Baker
RWB73	T:The Vault of Horror	1973	D:Francis
ThA10	T:The Silver Streak	1934	D:Atkins
BBe1	T:The Goldiggers of 1935	1935	D:Berkeley
BBe14	T:Babes in Arms	1939	D:Berkeley
BBe17	T:Strike Up the Band	1940	D:Berkeley
BBe19	T:Babes on Broadway	1941	D:Berkeley
BBe20	T:For Me and My Gal	1942	D:Berkeley
BBe21	T:The Gang's All Here	1943	D:Berkeley
BBe23	T:Take Me Out To The Ball Game	1949	D:Berkeley
BeH1	T:The Scoundrel	1935	D:Hecht
CMA1	T:Crime Without Passion	1935	D:MacArthur
EdK10	T:The New Adventures of Tarzan	1935	D:Kull
EdK15	T:Tarzan and the Green Goddess	1935	D:Kull
EDm18	T:Tender Comrade	1943	D:Dmytryk
EDm20	T:Captive Wild Woman	1943	D:Dmytryk
EDm22	T:Murder, My Sweet	1944	D:Dmytryk
EDm24	T:Cornered	1945	D:Dmytryk
EDm25	T:Till the End of Time	1946	D:Dmytryk
EDm26	T:Crossfire	1947	D:Dmytryk
EDm34	T:The Caine Mutiny	1954	D:Dmytryk
EDm35	T:Broken Lance	1954	D:Dmytryk
EDm37	T:Soldier of Fortune	1955	D:Dmytryk
EDm38	T:The Left Hand of God	1955	D:Dmytryk
EDm39	T:The Mountain	1956	D:Dmytryk
EDm40	T:Raintree County	1958	D:Dmytryk
EDm43	T:The Blue Angel	1959	D:Dmytryk
EDm58	T:Bluebeard	1972	D:Dmytryk
GNj1	T:Anne of Green Gables	1934	D:Nicholls
GWh10	T:George White's 1935 Scandals	1935	D:G.White
LoK20	T:Bulldog Drummond Comes Back	1937	D:L.King
LoK30	T:The Way of All Flesh	1940	D:L.King
LoK50	T:Dangerous Mission	1954	D:L.King
MxR10	T:A Midsummer Night's Dream	1935	D:M.Reinhardt
TWa10	T:Foreign Affaires	1935	D:Walls
xMe10	T:Invitation to the Waltz	1935	D:Merzbach
BDH10	T:The Tenth Man	1936	D:Hurst
FMD20	T:Along the Navajo Trail	1946	D:F.McDonald
GDo23	T:Rogues of Sherwood Forest	1950	D:G.Douglas
GDo39	T:The McConnell Story	1955	D:G.Douglas
GDo49	T:Bombers B-52	1958	D:G.Douglas
GDo50	T:The Fiend Who Walked the West	1958	D:G.Douglas
GDo71	T:Harlow	1965	D:G.Douglas
GDo74	T:Stagecoach	1966	D:G.Douglas
GDo79	T:The Detective	1968	D:G.Douglas
GDo83	Tm:They Call Me Mr.~Tibbs	1970	D:G.Douglas
GDo92	Tm:Viva Knievel	1977	D:G.Douglas
HaF35	T:The Man Who Watched Trains Go By	1952	D:H.French
HaF37	T:Rob Roy the Highland Rogue	1953	D:H.French
HCP1	T:Beloved Enemy	1936	D:Porter
HCP5	T:Congo Maisie	1938	D:H.Potter
HCP6	T:The Story of Vernon and Irene Castle	1939	D:H.Potter
HCP10	T:Helzapoppin	1942	D:H.Potter
HCP11	T:Victory through Air Power	1943	D:H.Potter
HCP12	T:Mr.~Lucky	1943	D:H.Potter
HCP22	T:The Farmer's Daughter	1947	D:H.Potter
HCP24	T:Mr.~Baldings Builds His Dream House	1948	D:H.Potter
HCP28	T:Three for the Show	1955	D:H.Potter
HeM20	T:Strange Boarders	1938	D:Mason
HeM30	T:Back Room Boy	1941	D:Mason
HKo10	T:First Love	1939	D:Koster
HKo12	T:Spring Parade	1940	D:Koster
HKo13	T:It Started with Eve	1941	D:Koster
HKo17	T:Luck of the Irish	1947	D:Koster
HKo21	T:The Inspector General	1949	D:Koster
HKo22	T:Wabash Avenue	1950	D:Koster
HKo23	T:My Blue Heaven	1950	D:Koster
HKo24	T:Harvey	1950	D:Koster
HKo26	T:No Highway in the Sky	1951	D:Koster
HKo29	T:The Robe	1953	D:Koster
HKo30	T:D\'esir\'ee	1954	D:Koster
HKo36	T:My Man Godfrey	1957	D:Koster
HKo39	T:The Naked Maja	1959	D:Koster
HKo41	T:Flower Drum Song	1960	D:Koster
HKo43	T:Mr. Hobbs Takes a Vacation	1962	D:Koster
HWa9	T:Where No Vultures Fly	1951	D:Watt
JFll	T:We're Only Human	1936	D:Flood
LaH10	T:Dracula's Daughter	1936	D:Hillyer
LeS80	T:The Vampire's Ghost	1946	D:Selander
LeS90	T:Belle Starr's Daughter	1948	D:Selander
LeS100	T:Sky Dragon	1949	D:Selander
LeS110	T:Fort Algiers	1953	D:Selander
MC2	T:Drole de Drames	1937	D:Carne
MC3	T:Quai des Brumes	1938	D:Carne
MC5	T:Le Jour se L\`eve	1939	D:Carne
MC6	T:Les Visiteur du Soir	1942	D:Carne
MC7	T:Les Enfants du Paradis	1944	D:Carne
NF1	T:I Cover Chinatown	1936	D:N.Foster
NF3	T:Think Fast, Mr.~Moto	1937	D:N.Foster
NF4	T:Thank You, Mr.~Moto	1937	D:N.Foster
NF6	T:Mr.~Moto Takes a Chance	1938	D:N.Foster
NF7	T:Mysterious Mr.~Moto	1938	D:N.Foster
NF9	T:Charlie Chan in Reno	1939	D:N.Foster
NF10	T:Mr.~Moto's Last Warning	1939	D:N.Foster
NF12	T:Mr.~Moto Takes a Vacation	1939	D:N.Foster
NF13	T:Charlie Chan at Treasure Island	1939	D:N.Foster
NF14	T:Charlie Chan in Panama	1940	D:N.Foster
NF16	T:Journey into Fear	1942	D:N.Foster
NF21	Tm:Davy Crockett	1955	D:N.Foster
NF25	Tm:Davy Crockett and the River Pirates	1958	D:N.Foster
NF27	T:The Sign of Zorro	1960	D:N.Foster
NF30	T:The Return of Mr.~Moto	1965	D:N.Foster
VtH5	T:Kreuzer Sonata	1936	D:Harlan
VtH10	T:Jew Suss	1940	D:Harlan
VtH15	T:Der Grosse Konig	1941	D:Harlan
VtH20	T:Opfergang	1943	D:Harlan
VtH23	T:Kolberg	1943	D:Harlan
VtH25	T:Die Baue Stunde	1951	D:Harlan
VtH30	T:The Third Sex	1957	D:Harlan
WCl14	T:Nancy Drew Detective	1938	D:Clemens
WCl15	T:Nancy Drew Reporter	1939	D:Clemens
WCl16	T:Nancy Drew Trouble Shooter	1939	D:Clemens
WCl17	T:Nancy Drew and the Hidden Staircase	1939	D:Clemens
WCl18	T:The Dead End Kids on Dress Parade	1940	D:Clemens
WCl19	T:Calling Philo Vance	1938	D:Clemens
WCl28	T:The Falcon in Danger	1943	D:Clemens
WCl29	T:The Falcon and The Co-Eds	1943	D:Clemens
WCl30	T:The Falcon Out West	1944	D:Clemens
WCl31	T:Crime By Night	1944	D:Clemens
WlH10	T:Bunker Bean	1936	D:W.Hamilton
xWi1	T:Charlie Chan's Secret	1936	D:Wiles
AKi1	T:Keep Fit	1937	D:Kimmins
AKi7	T:It's in the Air	1938	D:Kimmins
AKi25	T:Mr.~Denning Drives North	1951	D:Kimmins
AKi30	T:The Captain's Paradise	1953	D:Kimmins
AKi40	T:The Amorous Prawn	1962	D:Kimmins
AMx5	T:Sierra de Teruel	1938	D:A.Malraux
GrR1	T:Lancer Spy	1937	D:Ratoff
GrR3	T:Intermezzo	1939	D:Ratoff
GrR4	T:Barricade	1939	D:Ratoff
GrR5	T:Daytime Wife	1939	D:Ratoff
GrR6	T:Rose of Washington Square	1939	D:Ratoff
GrR7	T:Wife, Husband and Friend	1939	D:Ratoff
GrR10	T:I was an Adventuress	1940	D:Ratoff
GrR15	T:Irish Eyes are Smiling	1944	D:Ratoff
IBt20	T:Happy is the Bride	1957	D:J.Boulting
IBt24	T:I'm Allright Jack	1959	D:J.Boulting
IFa8	T:Broadway Musketeers	1938	D:Farrow
IFa14	T:A Bill of Divorcement	1940	D:Farrow
IFa17	T:China	1943	D:Farrow
IFa18	T:The Hitler Gang	1944	D:Farrow
IFa24	T:Calcutta	1947	D:Farrow
IFa25	T:The Big Clock	1948	D:Farrow
IFa28	T:Alias Nick Beal	1949	D:Farrow
IFa34	T:Hondo	1954	D:Farrow
IFa45	T:The Unholy Wife	1957	D:Farrow
JPH2	T:Ebb Tide	1938	D:J.Hogan
DvH10	T:Snow White and the Seven Dwarfs	1937	D:Hand
GeS29	T:Last of the Redmen	1947	D:G.Sherman
MP4	T:The Thief of Bagdad	1940	D:M.Powell
MP8	T:The Life and Death of Colonel Blimp	1943	D:M.Powell
MP12	T:A Matter of Life and Death	1946	D:M.Powell
MP13	T:Black Narcissus	1946	D:M.Powell
MP15	T:The Red Shoes	1946	D:M.Powell
MP17	T:Gone to Earth	1950	D:M.Powell
MP18	T:The Elusive Pimpernel	1951	D:M.Powell
MP20	T:The Wild Heart	1952	D:M.Powell
MP25	T:Oh Rosalinda!!	1955	D:M.Powell
MP31	T:The Battle of the River Plate	1956	D:M.Powell
MP35	T:Peeping Tom	1960	D:M.Powell
MP47	T:The Age of Consent	1969	D:M.Powell
ChJ25	T:Bluebeard	1951	D:ChristianJaque
GaK20	Tm:Some Kind of Hero	1982	D:Kanin
GWg23	T:The Climax	1944	D:Waggner
JoL2	T:Picnic	1956	D:J.Logan
JoL3	T:Bus Stop	1956	D:J.Logan
JoL4	T:Sayonara	1957	D:J.Logan
AnS3	T:Stormy Weather	1942	D:And.Stone
ChV26	T:The Loves of Carmen	1948	D:Ch.Vidor
ChV46	T:A Farewell to Arms	1957	D:Ch.Vidor
DFl10	T:Gulliver's Travels	1939	D:D.Fleischer
DFl11	T:Mr.~Bug goes to Town	1941	D:D.Fleischer
JqT7	T:Out of the Past	1947	D:J.Tourneur
JVK35	T:Two Tickets to Broadway	1951	D:Kern
PGy16	T:Barricade	1950	D:Godfrey
RRw35	T:Hit the Deck	1955	D:Rowland
ADT18	T:House of Wax	1953	D:deToth
ADT23	T:Tanganyika	1954	D:deToth
CJo20	T:Duck Amuck	1945	D:Ch.Jones
CJo30	T:What's Opera, Doc?	1957	D:Ch.Jones
CJo40	T:Gay Puree	1962	D:Ch.Jones
GPa2.	T:Caesar and Cleopatra	1945	D:G.Pascal
IgR2	T:I'm Still Alive	1940	D:Reis
IgR5	T:The Big Street	1942	D:Reis
IgR10	T:The Bachelor and the Bobbysoxer	1947	D:Reis
IgR14	T:Dancing in the Dark	1949	D:Reis
IgR15	T:Three Husbands	1950	D:Reis
IgR19	T:New Mexico	1952	D:Reis
IHw10	T:Spellbound	1940	D:Harlow
JnD10	T:Symphonie Pastorale	1946	D:Delannoy
JnD11	T:Les Jeux Sont Faits	1947	D:Delannoy
JnD33	T:Notre Dame de Paris	1956	D:Delannoy
JnD36	T:Inspector Maigret	1957	D:Delannoy
LSh1	T:Charlie Chan at the Wax Museum	1940	D:Shores
NSm10	T:Calling All Husbands	1940	D:N.Smith
OW1	T:Citizen Kane	1940	D:Welles
OW2	T:The Magnificent Ambersons	1942	D:Welles
OW3	T:It's all True	1942	D:Welles
OW4	T:The Stranger	1946	D:Welles
OW5	T:The Lady From Shanghai	1947	D:Welles
OW6	T:Macbeth	1948	D:Welles
OW7	T:Othello	1951	D:Welles
OW8	T:Confidential Report	1955	D:Welles
OW9	T:A Touch of Evil	1958	D:Welles
OW10	T:The Trial	1962	D:Welles
OW11	T:Chimes at Midnight	1966	D:Welles
PS1	T:The Great McGinty	1940	D:P.Sturges
PS2	T:Christmas in July	1940	D:P.Sturges
PS3	T:Sullivan's Travels	1941	D:P.Sturges
PS4	T:The Lady Eve	1941	D:P.Sturges
PS5	T:The Palm Beach Story	1942	D:P.Sturges
PS7	T:The Miracle of Morgan's Creek	1943	D:P.Sturges
PS8	T:Hail the Conquering Hero	1944	D:P.Sturges
PS20	T:Unfaithfully Yours	1948	D:P.Sturges
PS21	T:The Beautiful Blonde from Bashful Bend	1949	D:P.Sturges
PS22	T:Les Carnets de Major Thompson	1950	D:P.Sturges
TBs40	Tm:Caligula	1980	D:Brass
BaD13	T:The Blue Lamp	1950	D:B.Dearden
BaD22	T:Who Done It	1956	D:B.Dearden
BaD26	T:The League of Gentlemen	1960	D:B.Dearden
BaD28	T:All Night Long	1961	D:B.Dearden
BaD29	T:Victim	1961	D:B.Dearden
BaD35	T:Masquerade	1965	D:B.Dearden
BaD39	T:The Man who Haunted Himself	1970	D:B.Dearden
BSh10	T:Dumbo	1941	D:Sharpsteen
DBy1	T:Perr Gynt	1941	D:Bradley
DBy2	T:Julius Ceasar	1950	D:Bradley
DBy4	T:Talk About a Stranger	1952	D:Bradley
DBy10	T:They Saved Hitler's Brain	1963	D:Bradley
DMi15	T:Love Happy	1949	D:D.Miller
DMi25	T:The Opposite Sex	1956	D:D.Miller
DMi27	T:The Story of Esther Costello	1957	D:D.Miller
DMi28	T:Happy Anniversary	1959	D:D.Miller
DMi32	T:Back Street	1961	D:D.Miller
DMi35	T:Lonely Are the Brave	1962	D:D.Miller
GSy4	T:Anchors Aweigh	1945	D:Sidney
GSy7	T:The Three Musketeers	1948	D:Sidney
GSy10	T:Showboat	1951	D:Sidney
GSy11	T:Sacaramouche	1952	D:Sidney
GSy13	T:Kiss Me Kate	1953	D:Sidney
GSy16	T:Jeanne Eagles	1957	D:Sidney
GSy17	T:Pal Joey	1957	D:Sidney
GSy30	T:Bye Bye Birdie	1963	D:Sidney
GSy40	T:Half a Sixpence	1967	D:Sidney
IrR6	T:Now, Voyager	1942	D:Rapper
IrR8	T:The Adventures of Mark Twain	1944	D:Rapper
IrR10	T:The Corn is Green	1945	D:Rapper
IrR12	T:Rhapsody in Blue	1945	D:Rapper
IrR16	T:Deception	1946	D:Rapper
IrR27	T:The Brave One	1958	D:Rapper
IrR32	T:The Miracle	1959	D:Rapper
IrR50	Tm:Born Again	1978	D:Rapper
IH1	T:The Maltese Falcon	1941	D:J.Huston
IH2	T:This is our Life	1942	D:J.Huston
IH3	T:Across the Pacific	1942	D:J.Huston
IH4	T:The Battle of San Pietro	1943	D:J.Huston
IH11	T:The Treasure of the Sierra Madre	1948	D:J.Huston
IH12	T:Key Largo	1948	D:J.Huston
IH14	T:The Asphalt Jungle	1950	D:J.Huston
IH15	T:Red Badge of Courage	1951	D:J.Huston
IH16	T:The African Queen	1951	D:J.Huston
IH17	T:Moulin Rouge	1952	D:J.Huston
IH18	T:Beat the Devil	1954	D:J.Huston
